sentence,B2
"Alors, tu vois le film, tu écris un texte et tu décris l'histoire correctement.",0
"Pour ne pas être malade, lave-toi souvent les mains et ne bois pas dans le verre d'un autre enfant.",0
"Mais d'autres n'étaient pas d'accord : ""Son accent est tellement fort que l'auditeur va oublier ce qu'il dit"", ""La politique est un sujet trop sérieux pour être confié à une intonation aussi chantante*"" À la fin, Philippe Labro, alors vice-président de la station de radio, a expliqué : ""Il y a deux possibilités : soit son accent lui permettra d'être connu et ce sera très bien.",0
C'est le château.,0
À la semaine prochaine.,0
Et pourquoi le sont-elles ?,0
Le temps s'achève.,0
Il y aura bientôt une salle de consommation à moindre risque pour les toxicomanes,1
Comment s'appelle le directeur pour lequel vous travaillez ?,0
C'est loin de Paris ça !,0
"En attendant, de petites formations d'initiation à l'algorithmique et au langage informatique ont été réalisées pour les professeurs des écoles et des collèges, les inspecteurs et les formateurs d'IUFM (Institut Universitaire de Formation des Maîtres).",1
Je voudrais un café s'il-vous-plaît !,0
Comment vont les enfants ?,0
Il aurait tant voulu les accompagner !,0
Qui est Azaël ?,0
Je me disais alors que je voulais aussi combattre pour la justice,0
Tu était déjà allé voir cette pièce de théâtre ?,0
"C'est déjà le lundi, et toute la semaine recommence.",0
"Mais ma plus grande passion, c'est l'art.",0
On n'a pas peur de travailler.,0
J'aime le sport.,0
Il ne reste pas seul chez lui ce soir,0
"Qu'ils soient mariés depuis des années ou vivant pour la première fois sous le même toit, le confinement va mettre tous les couples à l'épreuve.",0
Je voudrais tellement que tout le monde admire mes tableaux !,0
J'ai la carte jeune.,0
"C'est une bonne nouvelle, mais comment je vais faire dans une si grande ville alors que j'adore la nature?",0
Vous êtes partie.,0
"Le soir, je regarde la télé jusqu'à 11 heures.",0
Il ne peut pas voler et partir avec sa famille et ses amis vers les pays chauds.,0
"Pour les produits qui sont humides ou les surgelés, notre solution pour le moment, c'est de doubler les sacs""",0
"Attention, vous devez certifier conformes la version papier des statuts de votre entreprise et celle de votre pièce d'identité, puis vous devez les signer de façon manuscrite avant de les scanner.",1
"Ils se sont dits des mots d'amour, des mots de tous les jours!",0
"Si l'école a une mission aujourd'hui, c'est bien celle-là.",0
"On peut donner plein d'exemples : détails du livre éliminés dans le film, changements concernant l'intrigue, acteurs qui ne correspondent pas à l'image des personnages qu'on s'était faite pendant la lecture.",1
J'ai raccroché et j'ai ri.,0
Elle apprécie le quartier dans lequel elle vit.,0
"Ensuite, suivre l'exemple des viticulteurs qui ont su, eux, se remettre en cause, opérant une réforme qui porte aujourd'hui ses fruits.",1
"D'autre part, nous projetons d'externaliser en partie les essais cliniques pour deux raisons.",1
"Des vacances mémorables pour leurs cinq ans ensemble, Laurence et Arnaud se sont organisé des vacances de rêve",1
"C'est l'instru - l'instrumental - qui va faire sortir les mots de ma tête, en fait",0
"Après la campagne Zéro Prospectus lancée par ELederc en septembre 2010, c'est au tour des principaux distributeurs de prospectus, via l'Observatoire du Hors Média de relancer la polémique sur l'usage du papier à des fins commerciales",1
"Car depuis ce dimanche, l'utilisation des sacs en plastique fins est interdite dans tout l'État de New York sous peine d'une amende de 250 dollars",0
Vous pouvez également poser une question en ligne aux juristes du greffe qui vous répondent très rapidement.,1
"""Le manque de temps ou la faible médiatisation du sport féminin peuvent expliquer la moindre pratique physique ou sportive des jeunes femmes"", note cette étude d'Insee Première.",1
Se précipiter avec violence sur une personne ou sur quelque chose.,0
"Je suis désole, mais je suis resté en arrière avec tes histoires.",0
"Quant aux entreprises étrangères, elles ont fait de même . en France",1
"Elle évoque un autre point : ""Encore aujourd'hui, certains pensent qu'un enfant élevé dans deux langues différentes réussit moins bien à l'école.",0
Ils boivent de l'eau avec des glaçons.,0
"Pour d'autres, pas le choix",0
"Le port à la ceinture aussi, de même que la ""panoplie de la frimeuse accomplie"", décrite en ces termes : ""Doudoune volumineuse, chaussures à talon compensé et l'Indispensable Téléphone Portable."".",1
T'as pas honte.,0
"On le fête avec ses amis ou sa famille, et on souhaite ""bonne année",0
Car l'enfant grand n'a pas le droit de partager la nourriture des hommes.,0
Je ne suporte pas les plats gras.,0
Je n'ai qu'un jour pour visiter Paris,0
Les capacités intellectuelles masculines et féminines sont en moyenne les mêmes.,1
"Les individus pensent avoir perçu un signal indiquant un appel entrant, un message ou une notification, alors qu'en fait, rien n'a été émis.",1
"Pourtant, il reste, dans le monde de la science, quelques domaines qui semblent réservés aux hommes.",1
J'aime beaucoup lire et je nage très bien,0
"Merci beaucoup Anne pour cette histoire, j'ai appris pas mal de nouveau vocabulaire.",0
Merci de me remplacer pour servir les clients au magasin.,0
Il croyait que nous avions raison.,0
Ils sont allés en vacances l'été dernier,0
Je vous soigne si vous avez mal aux dents.,0
Ce que je sais par contre c'est que beaucoup de jeunes restent sur le carreau.,0
"Je suis très gourmande, et j'adore également l'automne à cause de ses fruits et légumes de saison",0
Je voudrais poser une question.,0
"Mes peines : une peine est un chagrin, une douleur, un malheur.",0
Venez profitez du studio d'enregistrement et de la salle de répétitions !,0
Je vous remercie tous les trois.,0
"C'est ma voiture, nous avons un frigo, un congélateur, des sacs de couchage, des oreillers, on a aussi de la nourriture, et là-bas c'est la voiture de mon mari",0
Et c'est efficace ?,0
"A quel animal, le berger demande-t-il de l'aide ?",0
"Merci Gaio, Ne t'inquiète pas, fais à ton rythme.",0
Vous aimez votre travail ?,0
"Le lundi, David reste toute la journée à l'école.",0
En seconde.,0
La journée est longue pour lui,0
"Ne te couche pas trop tard, tu vas à l'école demain.",0
Il faut les fabriquer.,0
où ce moyen de transport est-il voué à s'installer durablement dans le paysage urbain,1
C'est maintenant ou jamais.,0
C'est déjà ça.,0
Le réalisateur m'a d'abord demandé de me mettre devant la caméra.,0
Lucie a postulé pour travailler comme monitrice dans un camps de vacances international cet été.,1
J'aime la musique classique et le rock.,0
"Le lendemain il questionna les bûcherons : ceux-ci lui apprirent que, d'après une très ancienne légende, une Enchanteresse était endormie au centre de la forêt mystérieuse, attendant d'être réveillée.",1
Vous devez revenir au bureau pour la réunion avec le directeur de l'entreprise Nysol.,0
"On a pris les deux et on a des trucs à grignoter, car on ne sait pas combien de temps on va rester ici",0
D'autre part les pays détenant une partie de la forêt tropicale en font une source de revenus optimale à court terme.,1
"Le jeudi et le vendredi, je reste chez moi et je travaille à la maison",0
Nous n'achetons pas de vin,0
Je suis photographe,0
Je suis complètement en sécurité car j'ai une entière confiance en lui.,0
Vous avez des enfants ?,0
Je suis triste sans elle.,0
"Le visage comprend une oreille de chaque côté, deux yeux surmontés par les sourcils et un nez au centre",0
Je suis restée quatre semaines à Boston dans une famille.,0
"La société SpaceX est fondée en 2002 par Elon Musk, devenu multimillionnaire en revendant l'entreprise PayPal.",1
"La vie en France est très différente de celle au Canada. Ici, il fait toujours chaud.",0
"On a beau dire, mais la France ça reste quand même le pays des 400 fromages.",0
"Un ange de l'hospitalité, envoyé par le prophète vient sauver le pacha.",0
"Je l'aide en français et elle me donne un coup de main en anglais, parce que ce n'est pas ma matière préférée .",0
"Si tu portes un nom arabe, tu as plus de mal à trouver du travail que si tu t'appelles François ou Sylvie.",0
Le spectacle était épouvantable et charmant.,1
"Quand j'ai attteint mes 1 ans et demi, j'ai appris à marcher de manière autonome et assurée.",0
C'est un médicament qui est très bon pour soigner les problèmes d'estomac.,0
Il m'a donné un coup de poing dans la figure.,0
"Bonjour, un café s'il vous plaît.",0
Il passe la matinée au Mucem qui est un musée récent et très connu,0
"Une foule se forme à la sortie du théâtre et se lance dans une série de mises à sac de demeures appartenant à des représentants de l'autorité royale, avant d'être réprimée dans le sang par l'infanterie",0
Je ne comprends pas ta question.,0
"Quand j'allais à la déchetterie, mes amis étaient sceptiques, certains me pensaient même un peu folle.",1
"Faute de temps, nous n'avons pas pu visiter le musée d'art contemporain.",0
"Les mois de mars et avril passent en accéléré : procès, rendez-vous médicaux, concerts, ballets, devoirs et match de baseball s'enchaînent à une vitesse incroyable, et pendant tout ce temps, le ventre de Chelsea ne cesse de s'étirer.",1
Moi je m'appelle Lien.,0
"Votre place, aujourd'hui, là, voyons, entre nous, vous a coûté combien ?",0
Je m'entends à peine penser !,0
Comment tu parles de ton père ?,0
Des chorales chantent sur le parvis rappelant que cette fête est à l'origine une fête religieuse,1
Je mange souvent une salade ou un sandwich dans mon bureau.,0
"Longtemps, la France a répondu non.",0
"Pour le mariage mixte, le choc culturel est presque certain.",1
"Pourtant, beaucoup de filles s'estiment bonnes en maths , mais n'ont jamais envisagé d'y faire carrière ; un premier indice expliquant peut-être le faible nombre de femmes en mathématiques.",1
Est-ce que le professeur Omar est libre ?,0
"Les préférences se tournèrent alors plutôt vers l'automobile, qui permettait de transporter plusieurs personnes protégées de la pluie, du vent et de la saleté.",1
"Du surgelé, du réchauffé, du périmé et pire encore : de l'industrialisé se faisant passer pour du traditionnel !",1
je me réveille tous les jpurs à 6 heures et quart.,0
L'objectif de ce type de voyage est d'être actif et non pas un touriste passif qui visite sans vraiment découvrir la vie et les habitudes locales.,0
Les vélos furent remplacés par les vélomoteurs et des motocyclettes plus commodes et moins chères que les automobiles.,1
Il fait un temps magnifique et nous avons des milliers de choses à faire !,0
Les micro-changements apportés par ce type d'union sont capables d'annoncer de profonds changements sociaux.,1
"Et par rapport à toute cette frénésie, on a besoin de prendre du recul",0
"Depuis quelques semaines, le gouvernement français tente de réformer le régime des retraites.",1
"La famille cultive un potager dans sa cour depuis plusieurs années, mais c'est la première fois qu'elle expérimente les semis intérieurs.",1
Il va beaucoup mieux depuis qu'il a changé de travail.,0
J'ai promis de dire la vérité au juge.,0
"Richard Castelli Les machines robots ou non remplacent déjà beaucoup d'humains, mais on a oublié que c'étaient eux qui effectuaient ces travaux auparavant.",1
Je vous demanderai de tout lui montrer et de le seconder cette semaine.,0
"Pour chaque histoire, j'écoute l'audio et dans le même moment j'écris ce que je comprends.",0
"Nous passions les grandes vacances à Valras, dans le sud de la France",0
"Pour aller à la mairie, s'il vous plaît ?",0
"Une fille super, quoi ! J'ai tout de suite eu envie de devenir son ami.",0
Ces nouvelles tensions interviennent après une journée de répression meurtrière dimanche avec au moins 18 manifestants tué.,1
"La région qui avait déjà été touchée par un ouragan, du nom d'Eta, c'était il y a deux semaines",0
"Si cette dernière innovation voyait le jour, une de ses applications serait tout aussi impressionnante et inquiétante.",1
"Ce dernier lui décrit sa patrie dans les contrées du sud, il lui parle des coutumes, des traditions de son peuple.",1
"Ils sont tolérants et compréhensifs, à condition que les enfants réussissent leurs études.",1
C'est même la première fois que nous voyons deux ouragans majeurs se produire au mois de novembre,0
"Grégoire est nul à l'école, tellement nul qu'à treize ans il est toujours en sixième.",0
Nous comprenons qu'une partie du personnel soit mécontente et méfiante mais nous prendrons toutes les mesures pour éviter que cela nuise au personnel et à notre image de marque.,1
Quelqu'un a essayé de brûler la maison et on ignore qui et pourquoi.,0
Elle obligeait à effectuer des interventions mécaniques fréquentes.,1
J'accepterais ce poste à condition qu'il soit basé à Zurich.,0
"Bref : réfléchir à l'utilisation que vous allez en avoir et non pas en fonction du prix, même mini !",0
"C'est son péché mignon ça, boire un bon verre de vin blanc",0
Elle n'aime pas les gens que je fréquente.,0
C'est quoi le plat du jour s'il vous plaît ?,0
"Salut! Je suis espagnole, et toi?",0
"Il s'agit d'un processus volontaire et tourné vers l'avenir, qui permet aux deux parties de trouver une issue, leur issue.",0
"Deuxièmement, il y a souvent la crainte, lorsqu'on n'est pas sur les réseaux sociaux, de ""louper quelque chose"".",0
On a eu aucune nouvelle de cette personne depuis le 15 août.,0
Les habitants du monde entier sont invités à une assemblée extraordinaire à Nossiop pour réfléchir aux applications de cette nouvelle technologie et à ses conséquences pour l'humanité.,0
"Les premiers jours, nous ne lui avons rien dit et elle n'a parlé à personne.",0
Je ne suis qu'un bon soldat timide.,0
"C'est le constat d'un institut de recherche en Californie qui tient compte pour son calcul de la pression exercée par les humains sur les ressources naturelles, ainsi que de la capacité de la Terre à se régénérer.",0
Tu me fais plaisir !,0
"Si elle avait étudié davantage, elle aurait pu réussir l'examen.",1
La majorité des Français fête Pâques et considère cette date comme une occasion de se retrouver en famille pour partager un bon repas,0
"Ce dragon était le vieux serpent, le roi.",0
"Ainsi, ils gagnent en effcacité et l'employeur en profte.",1
Vous avez fait de l'exercice physique,0
Je suis dentiste dans un nouveau cabinet depuis une semaine et j'aime mon travail,0
Tapez votre message sur les touches de votre téléphone,0
J'aimerais bien être figurant dans un film mais je n'ai pas encore eu l'occasion de l'être.,0
Il préfère quand les sommes ne sont pas arrondies,0
"Quand les joueurs eurent terminé le match, ils prirent une boisson énergisante.",1
"Une abeille m'a piqué, c'est très douloureux.",0
Comment est votre blanquette ?,0
Quelles sont-les démarches à faire pour obtenir ce documment?,1
C'est au premier temps de la colonisation du continent américain par les colons européens au XVIIe siècle qu'il faut remonter pour comprendre cette fête si particulière,1
Rien ne vaut un bon livre !,0
J'ai un frère et une soeur.,0
Je lis un livre très intéressant !,0
Elle allait vers le sud où il faisait moins froid.,0
Elle est certainement devenue mauvaise à cause de son mari.,0
J'habite un quartier calme,0
"En effet, sitôt rentrés chez eux, Vanessa, 14 ans, Raphaël, 16 ans, Marie, 44 ans, et Patrick, 45 ans, branchent les petites boîtes colorées afin de les recharger.",1
"Avant Noel, vous achetez des cadeaux pour tout le monde.",0
"Plus grave, un lien a été mis en évidence entre ces usages et des symptômes de dépression.",0
J'ai décidé de peindre les murs en jaune et d'y installer mon piano.,0
Un bureau !,0
"Chêne, mon aile est cassée, je ne peux pas voler.",0
Elle porte des lunettes.,0
Je suis une passionnée de montagne.,0
On ne peut pas utiliser son portable et il n'est pas permis de manger,0
"Ainsi, il existe déjà une méthode pour passer du virtuel au réel.",0
Hier s'est terminé le Salon de la pâtisserie de Paris.,0
Les enquêteurs sont convaincus que l'écoute électronique des conversations téléphoniques est un outil essentiel à la police.,1
Il a rendez-vous chez le médecin,0
"Souvent, je m'arrêtais pour parler avec les villageois.",0
mais aussi des fraisiers : je me régale et je fais le plein de vitamines J'espère que tu passes de bonnes vacances à Limoges,0
"Curieusement, l'actuel président du groupe Radio-France ne se souvient pas du débat après l'arrivée de M. Aphatie : Son arrivée n'a pas été critiquée, car il était évident que Jean-Michel Aphatie avait beaucoup de présence à la radio.",0
Il ne peut en rester qu'un.,0
"Dans le sac, il y a un téléphone, des clés, un ordinateur, une photo et un portefeuille",0
"Tous les dimanches, je vais faire mes courses au marché.",0
L'école a-t-elle fait changer le monde ?,0
Je travaille chez moi le matin et l'après-midi,0
Nous ne nous attendions pas à un tel buzz.,0
"Oh, mais attends une seconde !",0
A t'il parlé d'astuces pratiques pour un bien-être quotidien et d'un questionnement philosophique sur cette quête de l'impossible,0
"Accusé de manger à tous les râteliers, l'élu démissionne.",1
"Alors qu'elle revenait du marché à travers la brousse, une femme laisse tomber une cruche et continue son chemin sans s'apercevoir de rien.",0
"Le bébé pleure depuis des heures, il a faim.",0
"Les cadeaux seront déposés à son pied, le soir du 24 ou le 25 décembre au matin",1
"Dans cette ville, tout comme à Paris et Londres, les autorités ont déjà décidé de mettre en place des règles pour limiter la durée de location.",0
Depuis combien de temps?,0
"Il savait déjà qu'il faut éviter les aliments grossiers, les lourdes venaisons et les boissons fermentées ; il connaissait aussi l'influence bienfaisante des bains fréquents, qui gardent la peau saine et reposent des fatigues.",1
C'est la jungle.,0
Les dernières semaines avant Noël se déroulent dans une ambiance joyeuse et féérique,1
C'est les discussions d'aujourd'hui.,0
Papa raconte une histoire aux enfants pour les endormir.,0
"Mis en place par l'éco-organisme Récylum, ce dispositif intéresse en premier lieu les entreprises du bâtiment, mais aussi les industries et les collectivités territoriales, qui détiennent du matériel (alarmes incendie, caméras de surveillance) qui ne fonctionne plus.",1
"Si nous avions eu suffisament d'argent, nous aurions pris l'avion pour nous rendre à notre conférence sur les enjeux écologiques du siècle et ainsi participer activement au débat.",1
Je ne veux pas.,0
La journée est longue pour David qui attend le samedi toute la semaine.,0
Je me réjouis de te revoir pendant les vacances.,0
"De fait, les relations de l'individu au groupe, du privé au collectif, demeurent complexes dans l'Hexagone.",1
Il était une fois une petite fille de village.,0
L'addition s'il-vous-plaît !,0
Un petit garçon : On essaye de leur parler,0
Le couple a bien fait d'évacuer,0
On le trouvera ridicule et ce sera une catastrophe.,0
Qu'est-ce que vous avez comme tartes ?,0
On partait de bonne heure pour ne pas être coincés dans les embouteillages,0
Mon mari a enfin trouvé une place d'architecte et travaille sur un important projet d'immeuble avec son équipe,0
C'est somptueux.,0
Bonne chance !,0
J'ouvrais la porte et le chien courait à l'extérieur.,0
"Non, Je ne parle pas français.",0
Il est tombé malade l'année précédant son mariage.,1
Les maires ont ainsi voulu montrer qu'ils les avaient à l'oeil.,0
"Il allait devoir passer l'hiver ici, dans la forêt, en attendant d'être guérit.",0
Il est très fâché parce qu'elle ne lui a pas répondu au téléphone.,0
Je ne te crois pas.,0
Le journal a été emporté par un coup de vent.,0
"Sans y penser, j'ai fait des erreurs !",0
"Quand tu sors de l'ascenseur, tourne à droite et encore à droite.",0
"Et il regardait tous ces hommes attablés et buvant, tous ces hommes qui pouvaient se désaltérer tant qu'il leur plaisait.",1
Elle a préparé les photocopies pour les participants à la réunion de l'après-midi,0
"Ainsi, Madame, qui est irlandaise et vit à lieu, témoigne : ""En France, si je parle anglais à mon fils, il me répond plutôt en français.",0
Capacités intellectuelles ou problèmes d'orientation ?,1
A affronter ce monde et l'améliorer.,0
Il y a des cours de portugais.,0
Les spécialistes de la violence chez les adolescents rappellent qu'il est dangereux de les considérer comme une armée menaçante.,0
"Malheureusement, il ne s'agit que de moyenne.",0
Le paysage devient tout blanc à cause de la neige et de la glace.,0
"L'après-midi, j'ai encore beaucoup de choses à faire",0
Le bleu est très présent dans la nature : c'est la couleur du ciel et de la mer.,0
"Elle fais ses devoirs puis prépare le dîner et finalement, elle regarde un film avant d'aller se coucher.",0
Pas de fête avec vous ce soir,0
Je n'arrive plus à dormir depuis quelques jours à cause de mes voisins et leurs travaux.,0
J'aime les pommes de terre.,0
Elle a juste miaulé craintivement et s'est recroquevillée sur sa branche oú elle se trouve.,1
"Mesdames, messieurs, votre attention s'il vous plaît.",0
Je regarde un film en allemand.,0
Les vacances sont les moments préférés de Pierre car il a pour habitude d'aller chez ses grands-parents qui vivent dans une ferme de la campagne normande,0
Figurez-vous un Turc allant la nuit chez Paul Niquet!,1
Le courant d'air ainsi créé permet à la sueur - qui absorbe la chaleur du corps - de s'évaporer et ainsi de le refroidir.,0
Mais les chiens et les chats ne s'aiment pas beaucoup .,0
Les préadolescents et adolescents semblent particulièrement sensibles.,1
"Les cordes vocales, ce sont des muscles, hein, et donc, j'ai un entraînement quotidien parce qu'on doit être raccord avec des enregistrements qui ont quelquefois 10 voire 15 ans",1
Il est en train de ranger ses affaires.,0
"Tout comme la révolution industrielle a vu naître le capitalisme, je suis persuadé que la robolution va profondément modifier notre système économique.",1
"[Les dames rient] Je pense qu'il y aurait de la bagarre, hein",0
"Tu ne mérites pas d'en manger, dit l'autre.",0
Tout se passe bien en France ?,0
"Non, elle est fleuriste.",0
"Et vous l'entendez, ce violon qui joue du klezmer, la musique traditionnelle des juifs itinérants ?",1
"Un principe qui concerne déjà de nombreux produits tels que les emballages, les textiles et les pneus.",1
"Non, bien sûr que non.",0
J'ai une soeur,0
Et j'adresse un défi collectif au parterre !,1
La blanquette est bonne.,0
L'Empereur était à Paris.,0
"Je m'appelle Laurent et j'habite à Paris avec mes parents, ma soeur ainée et mon frère.",0
"La spirale vicieuse, cette mécanique qui entraîne vers le bas, n'est pas, dans le discours des milieux populaires, liée à une conjoncture négative.",1
Ils ne se parlent plus depuis qu'ils se sont disputés.,0
"Pour Yak Rivais, le langage fait certes travailler le cerveau, mais aussi l'oeil et l'oreille.",1
"En brisant le fatum des itinéraires sociaux, en augmentant le temps de la formation, en accroissant l'autonomie des individus, les sociétés modernes ont inventé la jeunesse et celle-ci ne cesse de s'allonger, jusqu'à 25 ans et au-delà.",1
"Je ne me couche pas trop tard, vers minuit",0
"""Nous allons essayer à nouveau (ndlr: d'entrer en contact avec lui). Mais les chances de rétablir la liaison sont très très faibles"", a déclaré à l'AFP Stephan Ulamec, responsable de l'atterrisseur, depuis l'Agence spatiale européenne (ESA) à Darmstadt (Allemagne).",1
"Ajoutons, pour parfaire ce tableau, que ces seniors ont reçu de la science la perspective d'un quart de siècle de longévité supplémentaire traversé en relative bonne santé.",1
La compagnie qui le gère est à majorité anglaise.,0
Je profite aussi du petit-déjeuner pour lire les infos en ligne,0
"Les papy-boomers sont individualistes, ce sont d'ailleurs eux qui ont mis en vogue le concept.",1
Tout le monde n'a pas l'argent pour se payer une machine à laver.,0
Et donc je te remercie pour tout ton boulot.,0
Elle se rendit compte qu'elle travaillait dans la pénombre et alluma la lampe posée sur le bureau.,1
"Au premier étage, il y a trois chambres",0
Paul a le numéro de téléphone de Marie.,0
Ils font à manger et ils nettoient toujours la cuisine juste après.,0
Elles font des cracracracracraaa ! Et moi j'en fais autant : on s'amuse !,0
"Par crainte des représailles, les contestataires ont été moins nombreux mardi dans les rues.",1
"Ce récit fascine toujours notre science-fiction, Blade Runner de Ridley Scott (1982) ou Her de Spike Jonze (2013) en témoignent.",1
"Mon énergie, mon temps, mon argent.",0
Qu'est-ce que tu penses de cette peinture ?,0
"Si nous sommes bloqués dans l'ascenseur qui s'est arrêté brusquement, nous appellerons du secours dès que la communication sera établie.",1
Ce texte invite les États à prendre toutes les mesures possibles dans la pratique pour veiller à ce que les membres de leurs forces armées qui n'ont pas atteint l'âge de 18 ans ne participent pas directement aux hostilités (Art.,0
La dame ne vient pas.,0
"Après cette crise, qui se renouvelle toutes les nuits, je dors enfin, avec calme, jusqu'à l'aurore",1
Elle raconte leur quotidien à travers les enfants qu'elle a aussi aidés à faire leurs devoirs,0
On peut voir aussi le fleuve qui traverse la capitale,0
"Or, la plupart du temps, la jeunesse est heureuse, ni aussi tragique ni aussi banale que ne le dessinent les clichés.",1
Il s'arrêta tristement à la porte d'un cabaret.,0
Ouais !,0
J'y suis allé hier en scooter.,0
Tu étais ma meilleure amie et tu avais toujours plein de bonnes idées pour s'amuser,0
"Oui, comme entrée ?",0
Il a demandé la raison de cette décision.,0
"S'il fait beau, l'après-midi vous pouvez aller au jardin du Luxembourg.",0
"De la même façon, le gouvernement de la République du Congo (RDC) s'est engagé, en mai 2002, à démobiliser des milliers d'enfants servant dans son armée.",0
Personne n'était intéressé par les discours du député,0
Enseigner à une enfant qu'il peut réussir.,0
Vous ne passerez pas !,0
"De quelles huées gouailleuses, de quelles curiosités grossières n'êut-il pas été l'objet et la victime!",1
Cette période marque l'arrivée de Noël et des fêtes de fin d'année.,0
Bien sûr que tu vas y aller.,0
Il a trouvé un copain.,0
"En France, le début des vacances est souligné par les soldes d'été",0
"Dans cette lettre au Père Noël, ils listent méticuleusement tous les cadeaux qu'ils souhaiteraient avoir au pied du sapin",1
"Il avait naturellement conçu le désir de répéter ces prouesses et, dès qu'il eut seize ans, il commença de s'exercer.",1
"J'étais trop épuisé, il m'était impossible de continuer !",0
"Si les enfants écrivent une lettre au Père Noël, est-ce qu'il répondra ?",0
"Après son enfance à Vinci, Léonard est élève auprès du célèbre peintre et sculpteur florentin Andrea del Verrocchio.",1
J'ai été me plaindre à la mairie mais ça n'a servi à rien !,0
Peut-on évoquer des sujets sérieux avec un accent du Sud de la France ?,0
Je voudrais la clé s'il vous plaît.,0
La science en fait partie.,0
"Tu peux assister à des cours de danse, de hockey, et de gym.",0
Il faut inciter la population à refuser les pailles en plastique.,1
Qu'est-ce qu'ils font ?,0
"Si vous me dites où vous avez passé l'hiver, je vous donnerai une grande somme d'argent.""",0
Un automobiliste a été arrêté pour avoir brûlé un feu rouge.,0
"Quel type de logement cherchez-vous: un appartement, une maison?",0
Vous pleuriez beaucoup. Pourquoi ?,0
"Je te conseille vraiment la Brasserie du Métro qui est mon restaurant préféré, tu ne le regretteras pas si tu y vas",0
"La dame du premier étage, sans doute la même qui m'a parlé au téléphone, me dit que Monsieur Lindon m'attend dans son bureau.",0
"Il sut comment poursuivre dans les prés les poulains à demi sauvages, comment les approcher en secret, les surprendre d'un saut et les maintenir par force, les par la fatigue.",1
Le cheval arriva au galop et sauta par-dessus la clôture.,1
"Ah oui, exactement comme moi !",0
"C'est un petit appartement, sans beaucoup de confort, mais près du centre-ville.",0
"C'est le cas à Nowra, à l'ouest de Sidney, où notre envoyée spéciale Murielle Paradon a pu rencontrer un couple de sexagénaires qui a trouvé refuge dans sa voiture",0
Nous avons voulu visiter le musée et nous avons dû payer l'entrée.,0
"Le soir venu, il faut rentrer en prenant le même chemin que le matin",0
Les nominations présidentielles ont besoin de 51 voix pour être approuvées par le Sénat.,1
J'aime beaucoup l'école,0
"Le respect, l'égalité , c'est ce que veulent les jeunes.",0
Je mettrai la tasse sur la table.,0
"La méchante femme n'y retournera sûrement pas."" Le démon partit bien vite, et il se précipita dans le trou, où, hélas, il retrouva la méchante femme.",0
On doit aider les petits pour y arriver.,0
Je saute et vous n'aurez jamais les plans !,0
"Et là en revanche, ça pourrait me servir.",0
Malheureusement sa conduite était plutôt noble et généreuse que tendre.,1
Mais que fait Jules ?,0
"Mon fils a de bonnes notes en français, c'est sa matière préférée",0
Je ne sais pas si j'ai assez d'argent pour vous accompagner,0
Sa voiture rouge est très rapide.,0
"Il ne n'est pas baigné, il ne s'est pas reposé",0
"Nous avons une grande maison avec un chien, un poisson et deux chats",0
"Un samedi sur deux, les étudiants de l'école de journalisme organisent des discussions dans le café internet du centre.",0
S'attribuer des qualités qu'on ne possède pas.,0
"Je vois bien l'intérêt de cet appareil, mais je n'en ai pas l'usage.",0
Oui c'est pour combien de personnes ?,0
"L'outil de travail, c'est le téléphone, avec lequel on fait tout : conseil, vente, suivi commercial mais surtout de la vente.",0
"Le repas est servi sur une table resplendissante, recouverte de bougies et de petits santons",1
"Tu pourrais ranger ta chambre, ça t'aiderait à les retrouver !",0
"Ce n'était pas le cas il y a cent ans, et c'est très bien.",0
Mais la chute de Neera Tanden annonce les autres batailles plus rudes à venir au Sénat,1
"Grâce à une enseigante, il a finalement commencé à s'intéresser à l'école.",0
"Il y a un an, j'ai décidé de ne plus manger de viande.",0
"Je viens d'aller consulter un médecin, car je ne pouvais plus dormir.",0
"HomeExchange, la plateforme par laquelle la famille est passée a vu ses demandes d'échanges de maison entre particuliers doubler cet été par rapport à l'année dernière.",0
"Qu'il revienne, s'il l'ose !",0
"Un ânier, son sceptre à la main, menait, en empereur romain, deux coursiers à longues oreilles.",1
Londres est différent de Paris.,0
"La chasse est également liée à l'exploitation forestière, le commerce du gibier offrant des possibilités lucratives.",1
"Je vais lui offrir un livre que j'aime beaucoup : ""Kurt et le poisson"", tu connais?",0
J'ai vu Christine et elle m'a dit que tout va bien pour toi.,0
"Donc, juste dans ma zone personnelle, donc, je fais la mise en place pour une centaine de clients ce soir",0
"Il y a beaucoup de choses à faire à Paris, crois-moi.",0
Il veut leur faire une surprise.,0
"Si j'ai un accident, mon coeur ou mon foie pourront être utilisés.",0
Je n'aime pas dessiner.,0
"À 40 ans, il est usé",1
Quel sport est-ce que vous faites ?,0
J'ai deux frères,0
Un bruit qui se produit dans l'estomac quand on a faim.,0
Un saison parfaite pour les sorcières,0
Il est entré dans la mauvaise chambre et a surpris des inconnus.,0
"Cette deuxième explication plus tardive semble avoir l'avantage pour certains de retirer les Amérindiens de l'équation, ce qui entache d'autant sa crédibilité",1
Bonne semaine et à bientôt Merci beaucoup Lida !,0
C'est un métier très complet.,0
"Alors après, on va bien distinguer dans les dettes : les dettes publiques, privées, multilatérales.Voilà, parce que de quelles dettes parle-t-on ?",1
"Savoir exactement quelle sera la météo, quelles seront les soirées où vous devrez être habillée",1
