sentence,letter
On est frappé par le jugement acerbe qu'émettent certains adolescents quand ils évoquent les possesseurs de portable de leur âge.,B
Comment vas-tu ?,A
Pourquoi tu prends ce risque ?,A
Ça faisait longtemps que je ne m'étais pas fait plaisir.,A
"À l'époque elle avait adoré son aspect brillant et rutilant, sans la moindre éraflure.",B
Les vélos furent remplacés par les vélomoteurs et des motocyclettes plus commodes et moins chères que les automobiles.,C
"À l'âge d'un an, il entrera dans une école pour suivre une formation pendant six à huit mois.",A
"Vous prônez une ouverture de l'école sur le monde d'aujourd'hui, je suis tout à fait d'accord avec vous.",A
"Toutes ses velléités de dénigrement s'évanouissaient sous la poésie du rôle qui l'envahissait, et, entraînée vers l'homme par l'illusion du personnage, elle tâcha de se figurer sa vie, cette vie rétentissante, extraordinaire, splendide, et qu'elle aurait pu mener cependant, si le hasard l'avait voulu.",C
S'attribuer des qualités qu'on ne possède pas.,A
"Mais si, ça me fait plaisir d'aller à Bâle avec vous.",A
C'est ça la vraie question.,A
On pense d'emblée à un vieux scribe accroupi ou à l'occupant d'une échoppe bancale nichée dans l'entresol d'un vénérable immeuble à colombages.,B
"Nous avions l'intention d'appeler ce journal Changer de vie, révèle sa fondatrice.",C
Pourquoi ne pas avoir donné la serviette alors que tu avais déjà les plans ?,A
Le Net a encouragé des visions utopistes chez d'autres.,B
"Et celui-là, ce fut Augustin Meaulnes, que les autres élèves appelèrent bientôt le grand Meaulnes.",C
"Sur la table, il y a un chat noir, un petit livre, un vase, une assiette et un sac",A
Il a participé à la construction du canal ?,A
"À cette occasion, a été annoncé un grand plan vélo destiné à faire décoller enfn ce mode de transport, notamment grâce à ""l'indemnité kilométrique"".",B
"Le ciel d'avril, au-dessus de nos têtes, planait limpide et fourmillant d'étoiles",A
La police investit d'ailleurs chaque année des millions d'euros afin d'écouter électroniquement les conversations des suspects.,C
Ne pas le casser.,A
"Il ne change pas facilement d'avis, il est têtu.",A
"Les coûts liés à la journalisation n'étant pas négligeables et la capacité mémoire des journaux n'étant pas infinie, l'administrateur système ou le responsable sécurité ont tout intérêt à indentifier les événements pertinents.",C
Ils créèrent une nouvelle société moderne sur les ruines de l'ancienne civilisation.,B
"Aujourd'hui, le quartier ne compte plus que 15 624 résidents à l'année alors qu'ils étaient 27 470 en 2006.",B
"Pour voyager en Sibérie, à Venise, autour du monde, essuyer une tempête en Atlantique, ou reconstruire une société sur une île déserte, il suffit que nous ouvrions un livre",C
"Innovation et simplicité sont les jalons du seul chemin à parcourir pour retrouver concrètement et durablement un élan créatif adapté à un monde qui change, évolue mais reste friand de bonnes choses.",C
J'aime beaucoup l'école,A
Vous avez beaucoup pleuré suite à votre rupture qui vous a brisé le coeurs en milles morceaux.,A
"Par ailleurs, des éducateurs expliquent que ce n'est pas en poursuivant ces enfants que l'on réglera les problèmes des familles.",B
"Faute de temps, nous n'avons pas pu visiter le musée d'art contemporain.",B
"Mais le weekend, nous nous levons tous les deux à neuf heures.",A
"Et, pour finir, cet aphorisme redoutable, maître-mot de la pensée de la complexité : ""Tout ce qui isole un objet détruit sa réalité même6.",C
"Si nous avions eu suffisament d'argent, nous aurions pris l'avion pour nous rendre à notre conférence sur les enjeux écologiques du siècle et ainsi participer activement au débat.",C
C'est fantastique ! Merci beaucoup.,A
"Dans son livre Guide de survie pour accros aux écrans (2015), le psychiatre Serge Tisseron déconseille plus particulièrement les écrans avant le coucher.",C
Je viendrai dîner avec mon amie.,A
"Sans y penser, j'ai fait des erreurs !",A
"En 1985, l'économiste japonais Ohmae Kenichi invente la formule commode de ""triade"" pour décrire la nouvelle polarisation du Monde.",C
"Le projet de loi pour le climat, qui reprend certaines propositions de la Convention citoyenne, sera débattu à l'Assemblée fin mars et en commission spéciale dès lundi.",C
Ce magasin n'est pas loins de chez moi,A
Des chorales chantent sur le parvis rappelant que cette fête est à l'origine une fête religieuse,A
Il faut aussi poser des questions sur le travail et les horaires de l'entreprise,A
"J'ai écris un roman, c'est le premier, je ne sais pas si c'est le premier, je ne sais pas si j'en écrirai d'autres.",A
"Aussi, les jeunes heureux réussissent à acheter leur autonomie et leur tranquillité par une réussite au lycée qui ne les dévore pas.",B
Il devait à tout prix téléphoner à son bourreau quand il recevait des nouvelles de son banquier.,A
"Les guerres, l'instabilité politique sont pour l'essentiel à l'origine des famines et des situations de pénurie qui règnent aujourd'hui dans le monde, précisait encore Bertrand Hervieu.",C
"Elle me dit toujours qu'il faut lui parler de mes problèmes, mais quand j'en parle, elle s'énerve contre moi et on finit par se disputer.",B
"Les concierges, en manches de chemise, à cheval sur des chaises en paille, fumaient la pipe sous des portes cochères, et les passants allaient d'un pas accablé, le front nu, le chapeau à la main.",C
L'école ne peut pas tout faire.,A
"Malgré les explications d'Emma, dès le duo récitatif où Gilbert expose à son maître Ashton ses abominables manoeuvres, Charles, en voyant le faux anneau de fiançailles qui doit abuser Lucie, crut que c'était un souvenir d'amour envoyé par Edgar.",C
As-tu besoin de quelque chose?,A
"Suivant leur position sociale différente, ils avaient des habits, des redingotes, des vestes, des habitsvestes : - bons habits, entourés de toute la considération d'une famille, et qui ne sortaient de l'armoire que pour les solennités ; redingotes à grandes basques flottant au vent, à collet cylindrique, à poches larges comme des sacs ; vestes de gros drap, qui accompagnaient ordinairement quelque casquette cerclée de cuivre à sa visière ; habits-vestes très courts, ayant dans le dos deux boutons rapprochés comme une paire d'yeux, et dont les pans semblaient avoir été coupés à même un seul bloc, par la hache du charpentier.",C
"vec ses livreurs à vélo aux énormes sacs à dos carrés, l'entreprise est devenue incontournable pendant la pandémie.",B
Il me reste des croissants.,A
Sa grossesse se passe bien et elle travaille toujours dans le même restaurant.,A
C'est le château.,A
L'école n'a plus la même fonction qu'hier parce que le monde a changé.,A
"Si nous sortons sous la pluie vêtus de la sorte, nous serons malades en un rien de temps.",B
"Il élabore des méthodes pour défendre la ville d'une attaque navale des Turcs avec, notamment, l'invention d'un scaphandre à casque rudimentaire.",B
Nous pouvons affirmer avec certitude que cette zone était utilisée comme cimetière entre le dernier quart du Ier siècle et la première moitié du IIe siècle de notre ère.,B
"Le vêtement est comme un enduit ; il met tout en relief, et la toilette a été inventée bien plutôt pour faire ressortir des avantages corporels que pour voiler des imperfections.",B
"Si vous aviez cherché ces dossiers, vous les auriez trouvés.",B
Jamais auparavant l'humanité n'avait produit autant de nourriture.,B
Quelle est la plus belle qualité de la femme d'Azaël ?,A
"D'abord, nous voulions dormir à l'hôtel mais finalement Martine, mon amie d'enfance, nous a proposé d'aller chez elle alors nous avons accepté.",C
"Dans son ouvrage, Mitra-Varuna, Dumézil signale qu'aux Indes comme à Rome, il y a deux manières pour le pouvoir viril de s'affirmer : en Varouna et Romulus, dans les Gandharvas et les Luperques, il est agression, rapt, désordre, hybris ; alors la femme apparaît comme un être qu'il faut ravir, violenter ; les Sabines ravies se montrent stériles, on les fouette avec des lanières en peau de bouc, compensant par la violence un excès de violence. Mais Mitra, Numa, les Brahmanes et les Flamines assurent au contraire l'ordre et l'équilibre raisonnable de la cité : alors la femme est liée au mari par un mariage aux rites compliqués et, collaborant avec lui, elle lui assurela domination de toutes les forces femelles de la nature ; à Rome, si la flamina meurt, le flamen dialis se démet de ses fonctions.",C
"Pour aller à la salle internet à partir de l'escalier, marchez jusqu'à l'accueil",A
J'ai vu son nom sur la boîte aux lettres.,A
Monsieur de Cyrano n'est pas là ?,A
"Tous les matins, il suit la même routine : il commence par se laver le visage avant de prendre une douche.",B
"Les clés sont ici, je les ai trouvées",A
"Pour les produits qui sont humides ou les surgelés, notre solution pour le moment, c'est de doubler les sacs""",B
Est-ce que ton mari et tes enfants vont bien,A
Illusion de l'ignoble qui attire tant d'êtres!,C
Les ressources disponibles en ligne peuvent faciliter l'apprentissage des lycéens.,B
Cet auteur tellement lu pour sa Grammaire impertinente propose aussi. des Jeux pour lire vite (Retz),C
"Si le smartphone fait partie de notre quotidien et rend de nombreux services, de récentes recherches montrent qu'il présente des risques dont ses utilisateurs doivent se méfier.",B
"Cependant, un recours en urgence a suspendu la décision, imposant le statu quo le temps qu'une cour d'appel examine le dossier, et ce afin d'éviter un ""effet yo-yo"".",C
"Un visage humain est projeté sur un masque de plastique et s'adapte à son interlocuteur (rire, larmes, dédain, gêne, neutre.)",C
Ellénore gardait le silence.,A
"Et cette année, ça défile !",A
J'étais donc lycéen et pompier à la fois.,A
"Chaque soir de mon enfance, je rentrais à la maison poursuivi par l'école.",A
J'ouvrais la porte et le chien courait à l'extérieur.,B
"C'est quelqu'un sur qui vous pouvez compter, vous pouvez vous fier à lui.",A
"Puis je me bagarrais avec Daffy, mon canard en peluche, je machouillais mon os qui couine ou je chantais à runisson avec la radio de la voisine",C
"Le dessein de lui plaire, mettant dans ma vie un nouvel intérêt, animait mon existence d'une manière inusitée.",C
"Si cette dernière innovation voyait le jour, une de ses applications serait tout aussi impressionnante et inquiétante.",B
"Après 13 ans, l'appareil articulatoire et phonatoire de l'enfant se fige, ce qui explique que les adultes ont tant de mal à apprendre les langues étrangères",C
"Hier, en raison de violents orages, des villageois ont été privés d'électricité.",B
J'avais une idée derrière la tête.,B
"Les vins français changent, évoluent, retrouvent l'éclat perdu et innovent tout en plaisant.",B
Comment t'appelles-tu ?,A
Nous commençons un nouveau cours,A
"D'autre part, l'échec scolaire croissant des garçons.",B
L'artiste peignit un paysage qu'il eut vu,B
"Ce combustible, majoritairement composé de cellulose et de plastique, permet de chauffer plusieurs installations, dont le spa de la ville.",B
Nous vous remercions de votre compréhension et nous vous souhaitons une excellente journée.,A
Un héritier : un héritier est une personne qui reçoit des droits ou un patrimoine après la mort d'une personne.,B
La balle est partie.,A
"Et, tournant à gauche, ils pénétrèrent dans une espèce de jardin couvert, que deux grandes fontaines de mauvais goût rafraîchissaient.",C
"En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective.",B
Eus-tu sorti les abats congelés du frigo hier soir afin qu'ils soient à température ambiantes pour le repas de ce midi ?,B
"En revanche, le sapin n'avait pas perdu une seule aiguille.",B
"Hé bien, il faut remonter en 1534 pour en trouver l'origine quand le navigateur Jacques Cartier découvre le Québec",B
Les statistiques sur l'apprentissage montrent que les garçons ont des facultés mentales identiques à celles des filles.,C
Je vais en Grèce avec mon amie,A
Cette activité apparait dans la religion grecque de l'Antiquité comme un cadeau qui est toutefois imposé aux Hommes pour qu'ils puissent survivre,C
"Les écarts hommes-femmes restent ""particulièrement marqués"" chez les plus jeunes : 50% des femmes âgées de 16 à 24 ans déclarent avoir pratiqué au moins une activité physique ou sportive dans l'année et 33% régulièrement chaque semaine, contre respectivement 63% et 45% des hommes de cette classe d'âge.",C
"Trop souvent le tourisme est une cause de dégradation de l'environnement ou de désorganisation d'une société traditionnelle alors que le voyageur doit être à l'écoute, tolérant et s'adapter à la vie locale.",C
"Je levai courageusement le petit doigt et je repris mon souffle, coupé par la stupeur de ce que j'avais vu précédement.",B
"Elle me raconta ce qu'elle avait souffert en essayant de s'éloigner de moi ; que de fois elle avait espéré que je la découvrirais malgré ses efforts ; comment le moindre bruit qui frappait ses oreilles lui paraissait annoncer mon arrivée ; quel trouble, quelle joie, quelle crainte elle avait ressentis en me revoyant ; par quelle défiance d'elle-même, pour concilier le penchant de son coeur avec la prudence, elle s'était livrée aux distractions du monde, avait recherché la foule qu'elle fuyait auparavant.",C
Les joueurs se furent rapidement ressaisis après la tentative désastreuse pour égaliser le score avant la mi-temps.,B
"Il peut également rendre ""addict"". Le smartphone est aujourd'hui omniprésent dans nos vies : 58 % des Français déclarent avoir leur mobile 24h sur 24 h avec eux ; 41 % le consultent même au milieu de la nuit et 7 % vont jusqu'à répondre à leurs messages dans leur lit.",C
"Des quinquas aux prises avec le mal-être de la ménopause, Monique Barbery, 52 ans, gynécologue, en voit passer beaucoup dans son cabinet parisien.",C
"Né en 1887 dans l'Empire austro-hongrois, serrurier de formation et poète par passion, Lajos Kassák est écrivain, peintre et fondateur de revues de l'avant-garde hongroise.",C
"C'est ce qu'a appris Hervé Brassier qui pourrait parler pendant des heures de son chien guide, Indigo : Ce chien m'apporte beaucoup de bonheur.",B
"Avec, en premier lieu, leur opposition à une réforme du Sénat qui permettrait d'adopter toutes les lois sans passer par un premier vote requérant 60 voix.",C
"C'est dans sa lettre à Schuller, extraite de sa Correspondance, que Spinoza dénonce l'illusion du libre arbitre",C
"Entre-temps, cette inflation a dopé les interactions et donné une place nouvelle à l'Europe vis-à-vis des autres ensembles sociaux de l'Ancien Monde.",B
C'est justement ce que tentent de faire les associations de prévention en effectuant un travail de longue haleine.,A
Je me souviens d'un été durant lequel nous nous étions beaucoup déplacés en durant lequel nous nous étions beaucoup déplacés en caravane.,C
L'indicateur n'était que de 40% chez les femmes en 2009.,B
"Au-delà de la pression réglementaire, les entreprises qui s'engagent dans le recyclage des déchets professionnels s'inquiètent de la diminution des matières premières qui entrent dans la composition de ces appareils : des métaux rares, du cuivre, du fer.",C
"D'après Marx, les Hommes qui font du travail une contrainte sont ceux qui produisent les objets du désir des Hommes",C
"Moi, je suis musicien, je suis violoniste.",A
Plus que ça.,A
"Il s'est également arrêté dans une boulangerie où il a longuement hésité entre un pain au chocolat, un croissant, et une brioche aux pralines, pâtisserie typiquement lyonnaise",B
"Nous sommes pris en otages par des imposteurs, par des maniaques du pré-cuit et de la vinaigrette en sachet !",C
C'est chouette !,A
"Mauvais par tous les stratagèmes et subterfuges qu'il suggère ; les recommandations, les préparations stratégiques, et, en somme, l'emploi de tous expédients pour franchir le seuil redoutable.",B
"On lui accorda, pour compagnes, et afin de l'aider lors de son accouchement, deux femmes des plus sages furent cloîtrées avec elle.",C
"Ainsi l'inaltérable patience de robots instituteurs en Corée du Nord et au Japon convient elle aux enfants autistes, mais nul ne sait comment évolueront les autres enfants qui n'apprennent pas à composer avec les humeurs d'un professeur humain.",C
Tu me manques beaucoup,A
Tu as pensé à envoyer un message d'excuses à ton correspondant étranger ?,A
"Les reliures de tons différents, rouges, jaunes, vertes, violettes, et bleues, mettaient de la couleur et de la gaieté dans cet alignement monotone de volumes.",C
"Une des originalités de la Fondation est d'impliquer la communauté scientifique dans la création des ressources pédagogiques, l'accompagnement des classes et la formation continue des enseignants.",C
Cette tranquillité ne l'effrayait pas moins que s'il eût trouvé le logis en rumeur,B
J'ai vu la tour Eiffel ?,A
"Il est tard, je rentre chez moi.",A
"Aujourd'hui, je vais te présenter ma famille.",A
"Tu pourrais ranger ta chambre, ça t'aiderait à les retrouver !",A
Elles obligent les partenaires à un effort permanent de communication pour maintenir un modus vivendi enrichi d'imagination.,B
"Elle est arrivée le jour de la rentrée, le 5 septembre.",A
Le serveur : Je vous apporte votre commande !,A
"Le nombre insuffisant de professeurs formés est également un frein pour beaucoup d'adversaires de cette mesure, qui la jugent inapplicable.",C
Il choisit toujours une grande chambre,A
"Le sans-gêne, la frime sont critiqués.",B
"Quand j'ai lu, j'ai découvert de nouvelles choses surprenantes sur les locataires qui occupaient l'appartement.",B
"Le soir, je me cuche tôt parce que je dois être toujours en bonne forme.",A
"C'est là, au bout de la rue.",A
Il jouait au jokari avec un ami.,A
Elle est vraiment contente que tu aies acccepté l'invitation.,A
"Quand je reviendrai, j'offrirai beaucoup d'amour à ceux que j'aprécie et je couvrirai mes enfants de présents.",A
"En province, les centres d'administration laïque ou cléricale, les sièges de parlements groupent des ecclésiastiques et des laïques instruits en nombre considérable, ils copient les salons et créent des centres locaux, lieux d'échange des idées.",C
J'ai commencé ma journée en jouant du piano.,A
"Quand il ne fait pas beau, j'y vais en bus",A
Ouais !,A
Comment tu t'appelles ?,A
Il joue dans le jardin avec un ballon.,A
"Emma rêvait au jour de son mariage: et elle se revoyait là-bas, au milieu des blés, sur le petit sentier, quand on marchait vers l'église.",C
J'étais également incapable de distraction et d'étude.,C
"Lorsqu'elle entendra le réveille-matin, elle se lèvera du lit, elle prendra une douche et elle se dépêchera pour aller au bureau.",A
"Moi aussi, je veux aller me promener !",A
Tu veux du sucre dans ton café,A
Tu bois du vin.,A
"Entre ceux qui ne jurent que par l'introduction de l'informatique comme un enseignement obligatoire, et ceux qui ont peur que l'on veuille transformer le primaire en une prépa à l'Ecole 42, il existe pourtant des pistes pour initier les enseignants et favoriser un passage du périscolaire au scolaire, sans avoir à attendre une réforme du socle commun qui prendra des années.",C
"Une après-midi du mois de juin, Fabrice entendit une forte canonnade assez éloignée.",C
Pour réussir un entretien il faut écouter avec attention et répondre avec des phrases courtes,A
"Il exécrait le comte Pietranera, son beau-frère, lequel, n'ayant pas cinquante louis de rente, osait être assez content, s'avisait de se montrer fidèle à ce qu'il avait aimé toute sa vie, et avait l'insolence de prôner cet esprit de justice sans acception de personnes, que le marquis appelait un jacobinisme infâme.",C
"Heureusement pour lui, les larmes qui embuaient les yeux de Laurence reflétaient sa joie, tout comme son sourire radieux",B
"Bonjour Anne, et aussi Bon Année en retard.",A
"Il faut leur faciliter la tâche, quand même, dans les écarts, dans les rythmes.",B
"D'autres ont été arrachées, non sans peine, de carènes de vaisseaux qu'elles avaient percées d'outre en outre, comme un foret perce un tonneau.",C
"Le système d'indicateurs propose des informations statistiques sur l'état et l'évolution du bien-être dans un large contexte, et qui pourront servir de base à la formation de l'opinion publique et aux prises de décisions politiques.",C
"Son rêve, en chassant l'histoire de l'histoire elle-même, est d'aboutir à un frottement régulier, sans frottement ni cahot, qui s'incarne dans la roue et la trajectoire circulaire, leitmotiv et poncif de toutes les Expositions universelles, depuis la Grande Roue de Ferris jsuqu'au gyrotron en passant par le tapis roulant circulaire de Paris 1900 et le Rocket Ship de New York 1939.",C
J'essayai donc de mille manières de fixer son attention.,C
A t'il parlé d'astuces pratiques pour un bien-être quotidien et d'un questionnement philosophique sur cette quête de l'impossible,B
Pourrais-tu me passer le sel ?,A
"Cette anecdote est cependant à prendre avec précaution car, selon Paul Barolsky, de nombreux récits des Vies constituent de pures inventions poétiques.",B
"Et ça touche toutes les générations et ça touche tous les métiers : on a des métiers dans la finance, on a des métiers des avocats, les médecins on n'arrête pas de faire des téléconférences et puis il y a tous les gens qui sont en télétravail",B
Il avait emprunté le couloir exigu qui menait aux dortoirs des filles.,B
Bonjour a tous!,A
Bienheureux le quidam que voilà débarrassé de cette peur originelle d'échouer et de faire faux,B
J'aime les panoramas.,A
La texture est parfaite,A
Toutes ces fêtes ont le même but : remercier les mamans pour ce qu'elles font toute l'année !,B
"Donc, je désire voir le théâtre guéri de cette fluxion.",A
"Vous voyez, le rôle de l'école a changé.",A
"Son pelage était celui d'un loup, avec une dominante grise nettement marquée, mais des reflets rouges insaisissables, furtifs comme des ombres, couraient par instants dans sa fourrure, la faisant paraître tantôt grise, tantôt - trop fugacement pour que l'impression demeure - d'une belle couleur fauve.",C
"Une crise survient à l'issue d'une période de quelques mois, pendant laquelle la pression - professionnelle, familiale ou existentielle - ne cesse de monter.",C
"L'idée était de stimuler chez les élèves l'esprit scientifique et les capacités d'expression, de favoriser leur compréhension du monde, et de leur permettre de mieux jouer leur rôle de citoyen en proposant des projets pédagogiques orientés vers des questions de société (éducation à la santé, au développement durable.).",C
Toute cette chaleur s'appuyait sur moi et s'opposait à mon avance.,A
"Suite à une série de retards, cet employé a été mis à pied pour une durée indertéminée",C
"Si j'appuie là, c'est douleureux.",A
Ces aventuriers sont des têtes brûlées.,B
"Une fille super, quoi ! J'ai tout de suite eu envie de devenir son ami.",B
Je suis actuellement en vacances en Alsace,A
"Je suis désole, mais je suis resté en arrière avec tes histoires.",A
"Même l'ambassadeur birman aux Nations unies, Kyaw Moe Tun, a rompu de manière spectaculaire avec les généraux putschistes la semaine dernière en appelant à ""mettre fin au coup d'Etat"".",C
"L'extension après 1945 du principe méritocratique à l'ensemble des carrières administratives et économiques supérieures, avec l'École nationale d'administration et le développement des écoles de commerce, aboutit à la mise en place dans les années 1960 du système des grandes écoles tel qu'il existe encore aujourd'hui.",C
On pourra se faire un cinéma ou un bowling à l'occasion si tu veux ?,A
Je t'aime.,A
"Des grosses parts pour les guerriers et pour Zahor, des petites parts pour les femmes et les enfants et enfin les os pour les chiens.",B
"Une vieille dame : Ça m'a rappelé l'enfance, ça m'a rappelé beaucoup de choses, parce que moi j'allais en vacances dans une ferme",A
Je suis une passionnée de montagne.,A
"À la radio, le journaliste a conservé les intonations de son Pays basque natal dans le Sud de la France.",B
"Si sept millions de citadins rêvent de refaire leur vie aux champs, tous ne passent pourtant pas à l'acte.",C
Forestier riait beaucoup de l'aventure ; les deux femmes déclaraient que le bavard indiscret n'était qu'un goujat et qu'un lâche.,B
Le Canada se trouve au nord de l'amerique,A
"""Malheureusement, il semble désormais évident qu'il n'y a pas de voie pour obtenir une confirmation"", a écrit Neera Tanden à Joe Biden en retirant sa candidature",B
Tapez votre message sur les touches de votre téléphone,B
Les préadolescents et adolescents semblent particulièrement sensibles.,B
"Et bien, pourquoi pas ?",A
"Il en résulte alors des conséquences désastreuses pour certaines espèces ; pour le cerf, on parle d'une malformation de la mâchoire, d'une masse corporelle limitée, d'organes sous-dimensionnés et d'une vie sexuée réduite.",C
Avez-vous des déclarations à faire à ce sujet,A
"Ce qui change vraiment, c'est la façon de favoriser l'accès à la connaissance.",A
Je cherchai enfin un raisonnement qui pût me tirer de cette lutte avec honneur à mes propres yeux.,B
"Il la sentait contre lui, si près, enfermée avec lui dans cette boîte noire, qu'éclairaient brusquement, pendant un instant, les becs de gaz des trottoirs.",B
Qu'est-ce qu'ils font ?,A
Un contrat est signé par l'éditeur et par l'auteur.,B
"Stop : tout d'abord, figurez-vous que les vrais nouveaux pères n'ont aucune envie d'être appelés comme cela.",C
Ils ont décimé les Amérindiens et ont employé des esclaves africains dans leurs mines et leurs plantations.,B
Cette époque fut une hécatombe pour les marques historiques de motos.,C
"Il avait marché brûlant, imprudent et damné, ses paupières frémissant sur ses épaisses prunelles, noires de la douleur d'une participation qui devait, quatre siècles plus tard, faire de lui une victime lorsqu'il sentit dans sa propre gorge l'écho du cri qui avait couru jadis sur la Piazza Montanara : ""Roba Vecchia !"" - la dégradation au prix de laquelle les siens avaient survécu.",C
Il t'ordonne de partir immédiatement !,A
"Brigitte Munier Karel Capek, dans R.U.R., imagine que les robots, devenus esclaves des hommes, les remplacent dans tous leurs travaux (guerre incluse) avant de se rebeller contre l'humanité aveulie par le loisir et de l'anéantir.",C
Elle doit les aider à apprendre.,B
Les hommes se croient libres alors qu'ils sont contraints ou déterminés par leur nature,B
Le député invite également à prendre en considération les nombreux avantages du vélo sur l'écologie et ses bienfaits sur la santé des salariés qui sont plus en forme.,B
"Vivement que tout soit fini, que le village redevienne ce qu'il était.",B
"Avec la peinture, faits des dessins sur le pot.",A
"certes les technologies ne sont pas forcément, nécessairement présentes.",B
"Une large majorité de français est favorable à la modification du calcul de la retraite des fonctionnaires dans le cadre de la réforme en préparation, selon un sondage publié vendredi",B
"Je m'appelle Jessica. Je suis une fille, je suis française et j'ai treize ans.",A
"Puis, quand ils eurent dépassé le bûcheron, celui-ci les rappela pour leur demander s'ils souhaitaient un cheval.",B
Il y a des marchands de poissons et c'est le départ de nombreux bateaux,A
"On en trouve des exemples dans l'ouvrage ""L'informatique sans ordinateur"", disponible gratuitement, qui propose un catalogue d'exercices et d'activités d'éveil débranchées à partir du primaire.",C
"Elle fais ses devoirs puis prépare le dîner et finalement, elle regarde un film avant d'aller se coucher",A
"C'est ce qu'a appris Hervé Brassier qui pourrait parler pendant des heures de son chien guide, Indigo.",B
La pluie vient arroser les champs et sauve ainsi la colonie d'un grand malheur,B
Bien vite mon intelligence rétablissait entre les éléments la séparation que mon impression avait abolie.,B
"Il y en a qui disent que c'est trop, mais pas moi.",A
"Cette gaieté italienne, pleine de brio et d'imprévu, faisait oublier la tristesse sombre que les regards du marquis et de son fils aîné répandaient autour d'eux à Grianta.",C
L'élastique s'est distendu.,A
Ils seront tous à la maison ce soir.,A
Les journalistes ont mis la vérité au grand jour sur l'affaire des déchets radioactifs.,B
"Nos prophéties disent que tant qu'il y aura des bisons sauvages, nous survivrons.",B
"Même si je ne suis pas fanatique de fast-food, je ne vois pas pourquoi je ne mangerais pas de pizza et de hamburgers.",A
Tu ne comprends pas.,A
"Le repas est servi sur une table resplendissante, recouverte de bougies et de petits santons",A
"Cela représente une rupture dans notre rapport au monde, parce que cela nous rend visibles.",B
"Tu as voulu me voir, tu es arrivée tôt.",A
J'ai deux voisins.,A
"Je suis dans le bus, j'arrive dans 5 minutes.",A
"Pour lui, parler sa langue maternelle avec ses filles, c'est surtout transmettre quelque chose de la culture danoise.",B
Tu descends l'escalier et tu tournes à gauche.,A
Vous ne risquerez pas de vous ennuyer dans un lieu aussi animé.,A
"Fabrice était le savant de la troupe, et l'on passait la plusieurs heures fort gaiement, loin des espions.",A
"Malgré les progrès accomplis, la situation alimentaire mondiale reste donc préoccupante, surtout si on la met en relation avec les données démographiques.",C
"Reprochant aux autorités administratives l'absence de politique forestière à long terme, ils profitent de la durée de leurs permis pour exploiter sans discernement tout ce qui peut se vendre afin d'accroître leurs marges bénéficiaires.",C
Les enfant n'avaient pas envie de travailler leurs devoirs après l'école.,A
ne te fais pas tuer.,A
"Selon l'institut, qui s'appuie là sur d'autres études ou recherches, les raisons évoquées peuvent être multiples : ""lassitude"", ""manque de temps"", ""difficultés de transport ou insatisfactions liées à l'ambiance"".",C
"Ne t'inquiète pas, tu vas vite t'habituer à ta nouvelle vie.",A
"Elle génère donc un espace où se manifestent des modes d'expression très divers, en fonction des projets de séances qui présentent plus ou moins d'improvisation ou de mise en forme ainsi qu'en fonction de la variabilité et de la composition des groupes.",C
"""Le démon partit bien vite, et il se précipita dans le trou, où, hélas, il retrouva la méchante femme.",B
La grange était en feu.,B
"Seuls les membres de la société de personnes ont la qualité de contribuables, ainsi le revenu et la fortune nets de la société sont attribués proportionnellement aux personnes physiques formant la société.",B
"On voyait là des têtes de vieux, inexpressives et pacifiques, et qui, blanchâtres de chevelure et de teint, ressemblaient à des médailles d'argent ternies par une vapeur de plomb.",C
Comment vont les enfants ?,A
Il eut acheté des méthodes pour apprendre la guitare.,A
"Eurojust, l'agence européenne qui coordonne la tenue des procès de l'Union européenne, organisera dans les prochaines semaines une réunion afin de trouver une solution à ce problème.",C
Vous mangeâtes des escargots et des langoustines servis dans un plat garnit de glace pillée afin de conserver le met prestigieux au frais.,B
"Un savant fait un Golem, créature intelligente à son image, mais ne supporte pas son autonomie, provoque sa révolte et veut la détruire.",B
"Si le député avait respecté les électeurs, il aurait démissionné.",B
Merci beaucoup.,A
"Il est vrai que Pierre a moins de livres que ses amis, mais les siens sont meilleurs.",B
"On avait apporté le rôti, des perdreaux flanqués de cailles, puis des petits pois, puis une terrine de foie gras accompagnée d'une salade aux feuilles dentelées, emplissant comme une mousse verte un grand saladier en forme de cuvette.",C
"Dès lors, comment sortir de l'impasse ?",A
"Parallèlement à l'urbanisation et à la déchristianisation de la société française, le septième jour, libéré de ces contraintes, est entré dans l'ère du temps libre.",B
Je me disais alors que je voulais aussi combattre pour la justice,A
Ce n'est vraiment pas simple de transmettre sa langue lorsqu'on n'est pas dans son pays d'origine !,A
"Ces rejetons gâtés des Trente Glorieuses ont instauré la dictature de la jeunesse, dynamité les valeurs de leurs parents, accaparé les leviers du pouvoir politique, économique, culturel, médiatique.",C
"Les arêtes de ce réseau sont les chemins parcourus, qui esquintent les pieds et abîment l'allure ; les noeuds se composent des lieux d'accueil, où les vagabonds aspirent au repos physique et moral, mais qu'ils obtiennent rarement.",C
Les appréciations sur le bulletin de notes sont aussi importantes que les moyennes elles-mêmes.,C
Instinctivement je regardai ma montre : deux heures du matin.,A
Mais cette initiative suscite par ailleurs beaucoup de réticences.,B
"L'avantage des galeries, c'est qu'elles sont souvent gratuites contrairement aux musées dont l'entrée est souvent payante.",B
