id,difficulty,sentence
988,C2,"Et comme dans ce jeu où les Japonais s'amusent à tremper dans un bol de porcelaine rempli d'eau de petits morceaux de papier jusque-là indistincts qui, à peine y sont-ils plongés s'étirent, se contournent, se colorent, se différencient, deviennent des fleurs, des maisons, des personnages consistants et reconnaissables, de même maintenant toutes les fleurs de notre jardin."
991,A1,Regardez-moi ce tas de feuilles !
993,C2,"Dans le langage courant, la liberté renvoie au pouvoir que possède tout homme de n'obéir qu'à lui-même, qu'à sa propre volonté, et d'agir uniquement en fonction de ses désirs, indépendamment de toute contrainte ou de toute pression extérieure"
1003,A1,"Oui, nous allons bien."
1004,B2,"Sur les fenêtres des maisons, des cloches, des étoiles et des traîneaux ont été peints"
1006,A1,Je vais chez le dentiste l'après-midi mais je suis libre le soir
1008,B2,"Plus précisément, la photosynthèse comprend l'utilisation de l'énergie lumineuse pour la réduction du dioxyde de carbone par l'eau, donneur d'hydrogène, avec synthèse de glucides et libération d'oxygène."
1011,A1,Quel est cet animal ?
1012,A1,Parlez-moi de votre maison.
1015,B2,L'air chauffé par la couche extérieure s'élève à l'intérieur et s'évacue par l'encolure.
1019,A1,Folio est la gardienne de l'appartement.
1021,A1,Mère est dans le jardin derrière la maison.
1039,C2,"Sans honneur que précaire, sans liberté que provisoire, jusqu'à la découverte du crime ; sans situation qu'instable, comme pour le poète la veille fêté dans tous les salons, applaudi dans tous les théâtres de Londres, chassé le lendemain de tous les garnis sans pouvoir trouver un oreiller où reposer sa tête, tournant la meule comme Samson et disant comme lui : ""Les deux sexes mourront chacun de son côté""."
1042,A1,"J'adore ma grand-mère, elle très gentille."
1053,C2,Je démêlai dans les traits d'Ellénore une impression de mécontentement et de tristesse.
1054,A1,Elle est belge.
1056,B2,"Colette eut des funérailles nationales lors de sa mort en 1954 et est enterrée auprès de sa fille, au cimetière du Père-Lachaise à Paris."
1058,C2,"Pour Halloween, on se déguise de manière effrayante : costume de fantôme, de sorcière, de monstre, de vampire. L'intérieur des maisons et les vitrines des magasins sont décorés avec des citrouilles, des personnages et des objets effrayants tels le cercueil, le chapeau de sorcière, la chauve souris, l'araignée, la toile d'araignée, le chat noir, etc"
1076,A1,Le chat et la souris.
1077,A1,"Moi, je ne vais jamais chez elle."
1078,C2,"Je poursuivais jusque sur le talus qui, derrière la haie, montait en pente raide vers les champs, quelques coquelicots perdus, quelques bluets restés paresseusement en arrière, qui le décoraient çà et là de leurs fleurs comme la bordure d'une tapisserie où apparaît clairsemé le motif agreste qui triomphera sur le panneau ; rares encore, espacés comme les maisons isolées qui annoncent déjà l'approche d'un village, ils m'annonçaient l'immense étendue où déferlent les blés, où moutonnent les nuages, et la vue d'un seul coquelicot hissant au bout de son cordage et faisant cingler au vent sa flamme rouge, audessus de sa bouée graisseuse et noire, me faisait battre le coeur, comme au voyageur qui aperçoit sur une terre basse une première barque échouée que répare un calfat, et s'écrie, avant de l'avoir encore vue : ""La Mer !""."
1079,A1,"Je suis désolée, elle n'est pas là."
1081,A1,Le prof de planche à voile est agréable.
1087,C2,"C'est ainsi que dans la troisième partie de l'Ethique, dans la section intitulée De l'origine et de la nature des affections, Spinoza rejette totalement l'idée selon laquelle l'homme occuperait une place privilégiée au sein de la nature"
1098,B2,Y a moyen de moyenner.
1100,A1,Il est ingénieur dans une societé d'informatique.
1101,A1,Aimerais-tu un verre?
1111,A1,Je m'appelle Jean.
1113,B2,L'ange lui dit de renoncer à la richesse et aux honneurs.
1120,A1,"Oui, vous partez quand ?"
1121,B2,"Ils sont très proches des 15-30 ans en termes d'habitudes et de comportements de consommation, note Thomas Tougard, directeur général d'Ipsos Observer."
1130,A1,Nous avons un cours de Français.
1133,A1,"Le soir, elle a dîné dans un restaurant avec son frère"
1140,C2,Ellénore fut émue.
1145,A1,Je conduis la voiture.
1149,C2,"Tôt dans l'année 1880, en dépit d'un doute bien fondé sur la judiciosité de perpétuer cette race qui a la sanction du Seigneur et la désapprobation des hommes, Hedwige Volkbein - femme viennoise de grande force et militairement belle, étendue sur un lit à baldaquin d'un riche cramoisi spectaculaire au lambrequin marqué des ailes bifurquées de la Maison de Habsbourg, l'enveloppe de satin du couvrelit de plumes portant en fils d'or massif et terni les armes des Volkbein - donna naissance, à l'âge de quarante-cinq ans, à un enfant unique, un fils, sept jours après que son médecin lui eut prédit qu'elle entrerait en travail."
1152,A1,Qu'est-ce que vous prendrez Madame ?
1157,A1,Nous sommes en vacances.
1158,C2,"Etre éternel, rassemble autour de moi l'innombrable foule de mes semblables ; qu'ils écoutent mes confessions, qu'ils gémissent de mes indignités, qu'ils rougissent de mes misères."
1170,A1,Où habites-tu ?
1172,B2,"Cela s'appellecahier de vacances, et 4, 5 millions d'écoliers et d'élèves n'ont d'autre solution que de lui trouverune place dans leur valise."
1175,B2,Le nombre de manifestants varie d'une année à l'autre selon la popularité du gouvernement en place.
1176,A1,Elle a des amies.
1179,A1,Est-ce que tu voudrais venir avec nous ?
1182,A1,Qu'est-ce que vous pensez de cette idée ?
1184,B2,"La connexion permanente, notamment aux réseaux sociaux la rassurerait quant à son insertion et lui donnerait alors l'impression qu'elle est un acteur socialement central et important."
1186,C2,"En partenariat avec l'INPES, elle a mis en place un programme sur l'addiction aux écrans, qui aborde le fonctionnement du cerveau, à la limite des neurosciences."
1192,A1,Je n'aime pas le pain.
1193,A1,"Ici, il fait beau et chaud."
1197,C2,"Il n'était pas comme tant de gens qui par paresse ou sentiment résigné de l'obligation que crée la grandeur sociale de rester attaché à un certain rivage, s'abstiennent des plaisirs que la réalité leur présente en dehors de la position mondaine où ils vivent cantonnés jusqu'à leur mort, se contentant de finir par appeler plaisirs, faute de mieux, une fois qu'ils sont parvenus à s'y habituer, les divertissements médiocres ou les supportables ennuis qu'elle renferme."
