sentence,A1
Vers une annulation des dettes africaines ?,0
"Un sapin fraîchement coupé est installé dans la cuisine ou le salon, et décoré à l'aide de guirlandes colorées et de boules de noël",0
"| Je m'appelle Dioke, je suis malien, j'aime la peinture.",1
"Le point de vue du penseur amène un autre type de réflexion, plus intellectuelle.",0
"Apolitique et adialectique, cet univers d'objets abstraits n'admet que l'homme opposé à la nature, jamais à d'autres hommes.",0
"Sur la pente espagnole, des aconits bleu sombre ; plus bas, l'iris xiphoïde bleu porcelaine ; surprise de le retrouver ici à l'état sauvage.",0
Je suis contente que cette histoire t'ait plu.,0
"Deux Mulets cheminaient, l'un d'avoine chargé, l'autre portant l'argent de la gabelle.",0
"n chemin, il a pu admirer la magnifique fontaine Bartholdi sur la grande Place des Terreaux.",0
Il doit téléphoner quand il reçoit des nouvelles de la part des sauveteurs.,0
On fait aujourd'hui en terminale ce qu'on faisait hier à l'université.,0
"Le soir, ne regarde pas la télévision et ne joue pas sur l'ordinateur avant de te coucher.",0
"Pour la dernière fois, lui et ses camarades de la Convention citoyenne pour le climat doivent se réunir à distance, ce week-end, pour donner leur verdict sur le projet de loi climat et résilience issu du rapport que ces 150 ont voté et dont le gouvernement s'est librement inspiré.",0
Tu as continué à penser à ton amant disparu.,0
"Simon a mis le chat par terre, mais le chat est revenu sur le fauteuil.",1
Il ne m'adresse plus la parole et je ne lui parle pas non plus.,0
"Mon ordinateur ne fonctionne plus, je dois le changer.",1
"Cependant, les bougies de l'orchestre s'allumèrent ; le lustre descendit du plafond, versant, avec le rayonnement de ses facettes, une gaieté subite dans la salle ; puis les musiciens entrèrent les uns après les autres, et ce fut d'abord un long charivari de basses ronflant, de violons grinçant, de pistons trompettant, de flûtes et de flageolets qui piaulaient.",0
"Bruno Bonnell Le mot ""robot"" a été inventé par l'auteur tchèque Karel Capek de la pièce Rossum's Universal Robots (R.U.R), jouée en 1920, et qui mettait en scène des hommes décérébrés prenant la place des ouvriers dans les usines.",0
"Chaque soir de mon enfance, je rentrais à la maison poursuivi par l'école.",0
"Ils insistent cependant afin que les animaux soient chassés seulement selon la méthode 'traditionnelle', ce qui exclut l'emploi de fusils de haute portée ou de bateaux mécanisés.",0
Elles auraient pu devenir de très grandes amies si elles s'étaient connues avant.,0
"Et après le film, je l'emmène dîner dans un restaurant romantique",0
L'été c'est le 21 juin et les beaux jours sont là !,1
"Leur intention étant de dégager la philosophie de certains faits constants et courants, ils devront souvent corriger les événements au profit de la vraisemblance et au détriment de la vérité, car le vrai peut quelquefois n'être pas vraisemblable.",0
La mer est toujours calme au petit jour.,0
"Des nattes posées sur les tapis permettent de dormir à même le sol dans les tentes, avec ou sans une couverture de laine de mouton.",0
"Bien, l'enquête est terminée, madame.",0
Les Mimivirus forment le premier genre de virus géant découvert au monde.,0
"Enfin, les producteurs s'inquiètent de la pollution que peuvent entraîner ces équipements qui contiennent parfois des substances dangereuses.",0
"Quelques sermons de quelques hypocondriaques sont-ils à ce point, parvenus à déconcilier l'Algérien avec sa santé ?",0
"Grâce à l'intervention de monsieur Ibrahim, le monde des adultes s'était fissuré, il n'offrait pas le même mur uniforme contre lequel je me cognais, une main se tendait à travers une fente.",0
Je vous appellerais au cas où il y a aurait un problème.,0
C'est ici que je cuisine des gâteaux et des pâtisseries.,0
Le jour de Pâques est le jour de la résurrection du Christ,0
Ils ne vont pas à la manifestation parce qu'ils n'ont pas pu prendre de jours de congé.,0
"Elles établissent cinq catégories : se mettre au vert, se mettre à son compte, se consacrer aux autres, vivre sa passion, partir loin.",0
L'objectif est de proposer aux élèves des techniques efficaces de recherche d'informations.,0
Il apprendra à ne pas courir après un ballon ou à ne pas avoir peur du klaxon des voitures.,0
"À la suite du retrait planifié de la navette spatiale américaine, la NASA lance un appel d'offres pour le transport d'une partie du fret et des équipages qui ne peut être pris en charge par les vaisseaux existants.",0
La connexion ne fonctionne plus.,1
Le cours de géographie est annulé.,1
"Puis, plus grand, je découvrais les métiers de policier et d'avocat dans un film.",0
Qui a aidé le paysan à tromper le démon ?,0
Il a dû téléphoner au médecin de garde.,0
Un peuple dont on ne connaît pas le nom.,0
"Je me suis concentré sur les pousses rapides : laitue, kale, chou kale, chou frisé.",0
Que donne le Père éternel à cet animal ?,0
"Elle a toujours ses affaires, ce n'est pas le genre de fille à demander sans cesse un taille-crayon, une feuille double, comme certains que je connais.",0
Laura est la soeur de Julie.,1
Je suis heureuse de vous revoir le mois prochain,0
C'est en tout cas ce que pensait Capek dans son livre fondateur.,0
"C'est pratique pour aller d'un centre commercial à un autre, pour aller à l'école, à la piscine, au stade ou encore au théâtre",0
"Alors, tu as vu le film, tu as écrit un texte et tu as décrit l'histoire.",0
J'aime les voyages et la littérature russe.,1
Il s'avère extrêmement difficile de lutter contre le téléchargement illégal.,0
"Il sait bien cuisiner alors en général, il prépare aussi le repas.",0
"À proscrire également : les hypocrites qui portent leurs enfants en écharpe pour donner une image positive de leur conception de leur paternité, mais ne font guère que ça, estimant avoir fait leur part une fois rentrés à la maison.",0
"""La batterie est en dessous du niveau nécessaire pour faire fonctionner l'ordinateur central"", a dit M. Ulamec.",0
Il fait beau dehors.,1
Je profite aussi du petit déjeuner pour lire les infos en ligne,1
Oui ça va.,1
"La seule chose qui me vienne à l'esprit, ce sont les cartes d'anniversaire.",0
Vous aimez l'aventure ?,0
"Nous sommes pris en otages par des imposteurs, par des maniaques du pré-cuit et de la vinaigrette en sachet !",0
L'histoire que je vais vous lire s'intitule Le berger et le Dragon.,0
Comment tu t'appelles ?,1
"Les tentes des nomades offrent un asile tempéré, à condition d'être ouvertes pour favoriser l'installation d'un courant d'air qui évacue la chaleur.",0
"Ce cadeau me transporta instantanément dans un monde imaginaire où je passais des heures entières à jouer à la coiffeuse avec mes clients imaginaires et mes poupées et pendant longtemps, je nourris le désir d'être coiffeuse",0
Quel films est-ce que tu préfères ?,0
Je mets mon portable dans la poche de ma veste.,1
"Finalement chez Hegel comme chez Hôlderlin, la révélation chrétienne apparaît comme un approfondissement de la révélation païenne, comme une réconciliation plus profonde de l'infini et du fini.",0
"Ce livre dresse une liste d'erreurs de langage, d'anglicismes, de pléonasmes, de néologismes et barbarismes classés par ordre alphabétique.",0
Ce peuple a seulement des contacts avec des voyageurs égarés et quelques marchands.,0
C'est pour la photo !,1
"Pourtant, comme d'habitude, elle est attentive et calme.",0
Pourquoi finalement le démon est-il retourné dans le trou sans fond ?,0
Mais où est Alice ?,1
Un enfant : Regarde les oeufs !,0
"Le principe général adopté pour identifier les zones de vulnérabilité repose sur la ""méthode de la suppression"" : partant d'une certaine métrique de connectivité calculée pour l'ensemble du graphe, elle consiste à simuler successivement la suppression de tous les éléments du graphe (taches ou liens) et à calculer pour chacun le taux de variation entre la valeur initiale de la métrique et la valeur tenant compte de la suppression.",0
Pour le dessert il y a de la mousse au chocolat.,1
Un beau succès d'estime.,0
"""Me voilà."" Quand la femme vit le berger, elle cessa de pleurer, et dit: ""Eh bien, où avez-vous été tout l'hiver ?""",0
Personne n'a envie de vivre dans la rue.,0
Elle est chanteuse.,1
"Les arêtes de ce réseau sont les chemins parcourus, qui esquintent les pieds et abîment l'allure ; les noeuds se composent des lieux d'accueil, où les vagabonds aspirent au repos physique et moral, mais qu'ils obtiennent rarement.",0
Je vais me promener dans le parc avec mon camarade.,0
Il entendit un grand cri venant du fond des bois.,0
"L'enseignant, l'artisan, dans sa classe, avec ses moyens, avec sa vision, avec ses élèves, dans un univers assez clos, qui va mettre au point sa classe inversée.",0
"Ça change que tout le monde au XIXe siècle était obligé de comprendre le français pour aller à la mairie, au service militaire ou encore pour lire la presse.",0
"Le verbe cacher signifie ""mettre quelque chose ou quelqu'un quelque part, les dissimuler, les garder dans un lieu secret.""",0
"Alors j'ai envie de vous poser une première question, l'école a-t-elle aujourd'hui la même fonction qu'hier ?",0
"Ces rejetons gâtés des Trente Glorieuses ont instauré la dictature de la jeunesse, dynamité les valeurs de leurs parents, accaparé les leviers du pouvoir politique, économique, culturel, médiatique.",0
"Alors, tu vois le film, tu écris un texte et tu décris l'histoire correctement.",0
"Pour ne pas être malade, lave-toi souvent les mains et ne bois pas dans le verre d'un autre enfant.",0
"Mais d'autres n'étaient pas d'accord : ""Son accent est tellement fort que l'auditeur va oublier ce qu'il dit"", ""La politique est un sujet trop sérieux pour être confié à une intonation aussi chantante*"" À la fin, Philippe Labro, alors vice-président de la station de radio, a expliqué : ""Il y a deux possibilités : soit son accent lui permettra d'être connu et ce sera très bien.",0
C'est le château.,1
À la semaine prochaine.,1
Et pourquoi le sont-elles ?,0
Le temps s'achève.,0
"Le lendemain, le général autrichien fit appeler le comte Pietranera, le reçut avec toute la distinction possible, et l'assura que sa pension de retraite ne tarderait pas à être liquidée sur le pied le plus avantageux.",0
Il y aura bientôt une salle de consommation à moindre risque pour les toxicomanes,0
"""Et nous disposons de technologies capables d'accroître considérablement la productivité des exploitations agricoles et de mieux maîtriser les ressources en eau"", précise-t-il.",0
Or Skype refuse de donner aux autorités policières les clés qui leur permettraient de décoder les conversations téléphoniques des suspects faites avec le logiciel.,0
Comment s'appelle le directeur pour lequel vous travaillez ?,0
"La misandrie est une haine-réponse, dans un contexte de domination patriarcale qui est lui-même violent envers les femmes.",0
C'est loin de Paris ça !,1
"En attendant, de petites formations d'initiation à l'algorithmique et au langage informatique ont été réalisées pour les professeurs des écoles et des collèges, les inspecteurs et les formateurs d'IUFM (Institut Universitaire de Formation des Maîtres).",0
Je voudrais un café s'il-vous-plaît !,1
"L'essor du numérique et les nouvelles technologies promettent d'accroître la productivité en stimulant l'innovation, en générant des gains d'efficience et en améliorant les services.",0
Comment vont les enfants ?,0
Il aurait tant voulu les accompagner !,0
Qui est Azaël ?,1
Je me disais alors que je voulais aussi combattre pour la justice,0
Tu était déjà allé voir cette pièce de théâtre ?,0
"C'est déjà le lundi, et toute la semaine recommence.",0
"Mais ma plus grande passion, c'est l'art.",0
On n'a pas peur de travailler.,0
J'aime le sport.,1
"Ellénore craignait, en se montrant inflexible, de voir se renouveler des imprudences qui l'alarmaient pour elle et pour moi.",0
Il ne reste pas seul chez lui ce soir,1
"Qu'ils soient mariés depuis des années ou vivant pour la première fois sous le même toit, le confinement va mettre tous les couples à l'épreuve.",0
"Soulignant, en préambule, la manière très différente dont le projet avait été abordé par l'Assemblée nationale et par le Sénat, M. Bernard Roman, rapporteur pour l'Assemblée nationale a considéré que cette divergence de fond était peu propice à la poursuite d'une discussion fructueuse en commission mixte paritaire.",0
Je voudrais tellement que tout le monde admire mes tableaux !,0
J'ai la carte jeune.,1
"C'est une bonne nouvelle, mais comment je vais faire dans une si grande ville alors que j'adore la nature?",0
"En ces temps où un virus soumet nos existences, déjoue nos projets, crée partout un climat d'incertitude, le hasard a voulu que je trouve quelque lumière dans les pages de Pascal sur la ""disproportion de l'homme"" (Pensées, Brunschvicg, 72), ce texte que chacun a lu une fois dans sa jeunesse, jamais médité depuis : ""Voilà où nous mènent les connaissances naturelles.",0
"Lucie s'avançait, à demi soutenue par ses femmes, une couronne d'oranger dans les cheveux, et plus pâle que le satin blanc de sa robe.",0
Vous êtes partie.,1
"Mains jointes, et un sang de velours dans les veines, ils contemplaient le ciel sublime et leur amour dans les palpitantes étoiles, bénissantes là haut.",0
"De la loi Toubon aux exigences de passage de musique en langue française à la radio, notre protectionnisme culturel fait tout son possible pour nous protéger des langues étrangères",0
"Brigitte Munier Karel Capek, dans R.U.R., imagine que les robots, devenus esclaves des hommes, les remplacent dans tous leurs travaux (guerre incluse) avant de se rebeller contre l'humanité aveulie par le loisir et de l'anéantir.",0
"Le soir, je regarde la télé jusqu'à 11 heures.",1
"La haie formait comme une suite de chapelles qui disparaissaient sous la jonchée de leurs fleurs amoncelées en reposoir ; au-dessous d'elles, le soleil posait à terre un quadrillage de clarté, comme s'il venait de traverser une verrière ; leur parfum s'étendait aussi onctueux, aussi délimité en sa forme que si j'eusse été devant l'autel de la Vierge, et les fleurs, aussi parées, tenaient chacune d'un air distrait son étincelant bouquet d'étamines, fines et rayonnantes nervures de style flamboyant comme celles qui à l'église ajouraient la rampe du jubé ou les meneaux du vitrail et qui s'épanouissaient en blanche chair de fleur de fraisier.",0
Il ne peut pas voler et partir avec sa famille et ses amis vers les pays chauds.,0
"Pour les produits qui sont humides ou les surgelés, notre solution pour le moment, c'est de doubler les sacs""",0
"Attention, vous devez certifier conformes la version papier des statuts de votre entreprise et celle de votre pièce d'identité, puis vous devez les signer de façon manuscrite avant de les scanner.",0
"Ils se sont dits des mots d'amour, des mots de tous les jours!",0
"Le père de l'enfant s'en était allé six mois auparavant, victime de la fièvre : Guido Volkbein, Juif d'ascendance italienne, avait été à la fois un gourmet et un dandy, qui n'apparaissait jamais en public sans que le ruban de quelque distinction parfaitement inconnue ne teintât sa boutonnière d'un filet discret.",0
"Si l'école a une mission aujourd'hui, c'est bien celle-là.",0
"En revanche, les Etats pourront refuser l'utilisation de ces arbres OGM en fonction de leur législation.",0
"On peut donner plein d'exemples : détails du livre éliminés dans le film, changements concernant l'intrigue, acteurs qui ne correspondent pas à l'image des personnages qu'on s'était faite pendant la lecture.",0
J'ai raccroché et j'ai ri.,0
Elle apprécie le quartier dans lequel elle vit.,1
Grande-Bretagne et Allemagne refusent de participer si le fonds doit aider ces pays.,0
"Très présente dans l'alimentation antillaise, la morue a été introduite aux Petites Antilles par les premiers colons",0
"Après nous être époumonées sur ""Come what may"", et après avoir bavé sur le beau Ewan McGregor, on sautera dans un Uber pour continuer la soirée dans notre club préféré qui, lui aussi, aura un thème spécial",0
"Ensuite, suivre l'exemple des viticulteurs qui ont su, eux, se remettre en cause, opérant une réforme qui porte aujourd'hui ses fruits.",0
"D'autre part, nous projetons d'externaliser en partie les essais cliniques pour deux raisons.",0
Nous crûmes longtemps que nos ancêtres eurent vécu une vie de rêve.,0
Il est primordial que le gouvernement poursuive ses efforts pour conforter la reprise économique dans ce pays,0
"Celle-ci, sans enfant, reporte toute son affection sur Léonard, mais elle meurt très jeune en couches, en 1464.",0
"Chaque fin de semaine, ils partaient ensemble en ran- donnée dans les Alpes",0
"Des vacances mémorables pour leurs cinq ans ensemble, Laurence et Arnaud se sont organisé des vacances de rêve",0
"C'est l'instru - l'instrumental - qui va faire sortir les mots de ma tête, en fait",0
"Après la campagne Zéro Prospectus lancée par ELederc en septembre 2010, c'est au tour des principaux distributeurs de prospectus, via l'Observatoire du Hors Média de relancer la polémique sur l'usage du papier à des fins commerciales",0
"Car depuis ce dimanche, l'utilisation des sacs en plastique fins est interdite dans tout l'État de New York sous peine d'une amende de 250 dollars",0
Vous pouvez également poser une question en ligne aux juristes du greffe qui vous répondent très rapidement.,0
"En vingt ans, leur nombre est passé de 4 500 à plus de 30 000, selon la direction du Tourisme du ministère de l'Emploi, qui ne recense que les maisons d'hôtes labellisées par les principales organisations touristiques.",0
"""Le manque de temps ou la faible médiatisation du sport féminin peuvent expliquer la moindre pratique physique ou sportive des jeunes femmes"", note cette étude d'Insee Première.",0
Se précipiter avec violence sur une personne ou sur quelque chose.,0
"Je suis désole, mais je suis resté en arrière avec tes histoires.",0
Français et mathématiques sont - personne ne s'en étonnera - les deux disciplines les plus révisées durant l'été,0
"Quant aux entreprises étrangères, elles ont fait de même . en France",0
"Le montant des dépenses électorales est plafonné, sous réserve d'aménagements pour les circonscriptions particulières.",0
"Elle évoque un autre point : ""Encore aujourd'hui, certains pensent qu'un enfant élevé dans deux langues différentes réussit moins bien à l'école.",0
Ils boivent de l'eau avec des glaçons.,1
"Pour d'autres, pas le choix",0
Armel Le Cléac'h arrive cet après-midi au large des Sables d'Olonne,0
"On disait qu'une princesse polonaise, l'écoutant un soir chanter sur la plage de Biarritz, où il radoubait des chaloupes, en était devenue amoureuse.",0
"Le port à la ceinture aussi, de même que la ""panoplie de la frimeuse accomplie"", décrite en ces termes : ""Doudoune volumineuse, chaussures à talon compensé et l'Indispensable Téléphone Portable."".",0
Le repos hebdomadaire n'entrera vraiment dans les moeurs qu'après la Grande Guerre.,0
T'as pas honte.,0
"L'arme était à mi-hauteur lorsque la louve, comme mue par un ressort, fit un bond de côté et disparut derrière le bosquet de sapins.",0
"On le fête avec ses amis ou sa famille, et on souhaite ""bonne année",0
Car l'enfant grand n'a pas le droit de partager la nourriture des hommes.,0
Je ne suporte pas les plats gras.,0
Je n'ai qu'un jour pour visiter Paris,0
Les capacités intellectuelles masculines et féminines sont en moyenne les mêmes.,0
"Les individus pensent avoir perçu un signal indiquant un appel entrant, un message ou une notification, alors qu'en fait, rien n'a été émis.",0
"Pourtant, il reste, dans le monde de la science, quelques domaines qui semblent réservés aux hommes.",0
J'aime beaucoup lire et je nage très bien,1
"Merci beaucoup Anne pour cette histoire, j'ai appris pas mal de nouveau vocabulaire.",0
"Sur le midi, la pluie à verse continuant toujours, Fabrice entendit le bruit du canon ; ce bonheur lui fit oublier tout à fait les affreux moments de désespoir que venait de lui donner cette prison si injuste.",0
Merci de me remplacer pour servir les clients au magasin.,0
"Fabrice était le savant de la troupe, et l'on passait la plusieurs heures fort gaiement, loin des espions.",0
Il croyait que nous avions raison.,0
Ils sont allés en vacances l'été dernier,0
Je vous soigne si vous avez mal aux dents.,0
Ce que je sais par contre c'est que beaucoup de jeunes restent sur le carreau.,0
"Je suis très gourmande, et j'adore également l'automne à cause de ses fruits et légumes de saison",1
Je voudrais poser une question.,1
"Mes peines : une peine est un chagrin, une douleur, un malheur.",0
"Au cours des années 1970 et 1980, plusieurs groupes d'environnementalistes de pays industrialisés d'Europe de l'ouest et d'Amérique du Nord ont organisé des campagnes contre la chasse aux baleines et aux phoques.",0
"Car comportement excessif rime avec culpabilité, culpabilité avec perte d'estime de soi et perte d'estime avec fuite dans les excès.",0
Venez profitez du studio d'enregistrement et de la salle de répétitions !,0
"Léonard de Vinci est employé comme architecte et ingénieur militaire par les Vénitiens, qui cherchent à protéger leur cité.",0
Je vous remercie tous les trois.,0
Je me souviens d'un été durant lequel nous nous étions beaucoup déplacés en durant lequel nous nous étions beaucoup déplacés en caravane.,0
"C'est ma voiture, nous avons un frigo, un congélateur, des sacs de couchage, des oreillers, on a aussi de la nourriture, et là-bas c'est la voiture de mon mari",0
"Anne, 52 ans, a vécu cette libération.",0
Et c'est efficace ?,1
"A quel animal, le berger demande-t-il de l'aide ?",0
"Merci Gaio, Ne t'inquiète pas, fais à ton rythme.",0
Vous aimez votre travail ?,1
"Le lundi, David reste toute la journée à l'école.",0
En seconde.,1
La journée est longue pour lui,0
"Ne te couche pas trop tard, tu vas à l'école demain.",1
"Premièrement, comme les réseaux sociaux sont devenus de véritables espaces de comparaison sociale, notamment par les photos postées, on est souvent enclin à penser que les autres sont plus heureux et ont une vie bien plus agréable que la nôtre.",0
Il faut les fabriquer.,0
"Sollicitée, elle n'a pas répondu aux multiples requêtes de l'AFP pour commenter ces évènements.",0
où ce moyen de transport est-il voué à s'installer durablement dans le paysage urbain,0
Dans l'intérêt d'une sécurité optimale pour le bénéficiaire elles sont toutefois indispensables.,0
C'est maintenant ou jamais.,0
C'est déjà ça.,1
Le réalisateur m'a d'abord demandé de me mettre devant la caméra.,0
Lucie a postulé pour travailler comme monitrice dans un camps de vacances international cet été.,0
Cet indicateur reflète le niveau de sollicitation des réanimations mais aussi le niveau de tension sur les capacités hospitalières en réanimation.,0
J'aime la musique classique et le rock.,1
"Le lendemain il questionna les bûcherons : ceux-ci lui apprirent que, d'après une très ancienne légende, une Enchanteresse était endormie au centre de la forêt mystérieuse, attendant d'être réveillée.",0
C'est pourquoi la définition de métriques des actifs intangibles et des connaissances ainsi que de normes sur la question permettant la comparaison d'entreprises apparaît comme un enjeu pour les entreprises,0
Vous devez revenir au bureau pour la réunion avec le directeur de l'entreprise Nysol.,0
"Outre que cela favoriserait notre épanouissement, un peu de paresse sauverait-il le monde ?",0
"On a pris les deux et on a des trucs à grignoter, car on ne sait pas combien de temps on va rester ici",0
D'autre part les pays détenant une partie de la forêt tropicale en font une source de revenus optimale à court terme.,0
"Le jeudi et le vendredi, je reste chez moi et je travaille à la maison",1
Nous n'achetons pas de vin,1
Je suis photographe,1
Je suis complètement en sécurité car j'ai une entière confiance en lui.,0
"Le tout reposait sur une conscience claire, du moins chez les élites, de l'appartenance à une civilisation communce, conçue d'ailleurs comme indépassable et comme la seule vraie civilisation, fondée sur les valeurs du christianisme mais aussi du libéralisme des Lumières.",0
Vous avez des enfants ?,1
Je suis triste sans elle.,1
"Le visage comprend une oreille de chaque côté, deux yeux surmontés par les sourcils et un nez au centre",0
Je suis restée quatre semaines à Boston dans une famille.,0
"La société SpaceX est fondée en 2002 par Elon Musk, devenu multimillionnaire en revendant l'entreprise PayPal.",0
"La vie en France est très différente de celle au Canada. Ici, il fait toujours chaud.",0
"Contrairement à d'autres tribunaux compétents en matière constitutionnelle tels que la Cour suprême des États-Unis, le Conseil constitutionnel français ne se situe au sommet d'aucune hiérarchie de tribunaux, ni judiciaires ni administratifs.",0
"On a beau dire, mais la France ça reste quand même le pays des 400 fromages.",0
"Un ange de l'hospitalité, envoyé par le prophète vient sauver le pacha.",0
"Je l'aide en français et elle me donne un coup de main en anglais, parce que ce n'est pas ma matière préférée .",0
"Si tu portes un nom arabe, tu as plus de mal à trouver du travail que si tu t'appelles François ou Sylvie.",0
Le spectacle était épouvantable et charmant.,0
"Mais, une heure après, l'adjudant du régiment passant à portée du bivouac, les soldats allèrent lui raconter l'arrivée de cet étranger parlant mal français.",0
"Premièrement, la source de l'illusion humaine du libre arbitre est l'ignorance des causes qui nous poussent à agir",0
"Quand j'ai attteint mes 1 ans et demi, j'ai appris à marcher de manière autonome et assurée.",0
C'est un médicament qui est très bon pour soigner les problèmes d'estomac.,0
Il m'a donné un coup de poing dans la figure.,0
"Bonjour, un café s'il vous plaît.",1
Il passe la matinée au Mucem qui est un musée récent et très connu,0
"Une foule se forme à la sortie du théâtre et se lance dans une série de mises à sac de demeures appartenant à des représentants de l'autorité royale, avant d'être réprimée dans le sang par l'infanterie",0
"Bien qu'ayant évoluée, la formation apparait inadéquate aux professionnelles qui entretiennent avec elle un rapport ambigu.",0
Je ne comprends pas ta question.,1
"Lorsqu'elle me vit, ses paroles s'arrêtèrent sur ses lèvres ; elle demeura tout interdite ?",0
"Quand j'allais à la déchetterie, mes amis étaient sceptiques, certains me pensaient même un peu folle.",0
"Faute de temps, nous n'avons pas pu visiter le musée d'art contemporain.",0
"Les mois de mars et avril passent en accéléré : procès, rendez-vous médicaux, concerts, ballets, devoirs et match de baseball s'enchaînent à une vitesse incroyable, et pendant tout ce temps, le ventre de Chelsea ne cesse de s'étirer.",0
"Le comte de P *** était absent * Les combats que j'avais livrés longtemps à mon propre caractère, l'impatience que j'éprouvais de n'avoir pu le surmonter, mon incertitude sur le succès de ma tentative, jetèrent dans ma lettre une agitation qui ressemblait fort à l'amour.",0
"Candide, plus ému encore de compassion que d'horreur, donna à cet épouvantable gueux les deux florins qu'il avait reçus de son honnête anabaptiste Jacques.",0
On réinvente le dimanche dans une perspective laïque.,0
Moi je m'appelle Lien.,1
"Votre place, aujourd'hui, là, voyons, entre nous, vous a coûté combien ?",0
Je m'entends à peine penser !,0
Comment tu parles de ton père ?,0
Des chorales chantent sur le parvis rappelant que cette fête est à l'origine une fête religieuse,0
Je mange souvent une salade ou un sandwich dans mon bureau.,1
"Le lendemain, en se promenant, il rencontra un gueux tout couvert de pustules, les yeux morts, le bout du nez rongé, la bouche de travers, les dents noires, et parlant de la gorge, tourmenté d'une toux violente et crachant une dent à chaque effort.",0
"Longtemps, la France a répondu non.",0
"Depuis 1975 l'établissement public a protégé quoi, à peu près 10% du linéaire côtier du béton.",0
"Pour le mariage mixte, le choc culturel est presque certain.",0
"Lorsqu'une culture est assimilée par une autre, la langue menacée subit un processus qui passe généralement par trois étapes.",0
"Pourtant, beaucoup de filles s'estiment bonnes en maths , mais n'ont jamais envisagé d'y faire carrière ; un premier indice expliquant peut-être le faible nombre de femmes en mathématiques.",0
Est-ce que le professeur Omar est libre ?,1
"Les préférences se tournèrent alors plutôt vers l'automobile, qui permettait de transporter plusieurs personnes protégées de la pluie, du vent et de la saleté.",0
"La gorge ronde des mannequins gonflait l'étoffe, les hanches fortes exagéraient la finesse de la taille, la tête absente était remplacée par une grande étiquette, piquée avec une épingle dans le molleton rouge du col ; tandis que les glaces, aux deux côtés de la vitrine, par un jeu calculé, les reflétaient et les multipliaient sans fin, peuplaient la rue de ces belles femmes à vendre, et qui portaient des prix en gros chiffres, à la place des têtes.",0
"Du surgelé, du réchauffé, du périmé et pire encore : de l'industrialisé se faisant passer pour du traditionnel !",0
"Rencontrant dans mon cours de biologie une notion complexe, je descendis pour aller demander à mon père d'éclairer ma lanterne.",0
je me réveille tous les jpurs à 6 heures et quart.,1
L'idée de base en commande référencée vision consiste a considérer un système de vision comme un capteur particulier associé à une tâche et inséré dans une boucle de commande.,0
L'objectif de ce type de voyage est d'être actif et non pas un touriste passif qui visite sans vraiment découvrir la vie et les habitudes locales.,0
Les hommes sont dépeints comme des amants incroyables et insatiables au lit.,0
Les vélos furent remplacés par les vélomoteurs et des motocyclettes plus commodes et moins chères que les automobiles.,0
"Quand elle s'amusait dans la conversation, ses yeux se tournaient naturellement vers moi.",0
"Si sept millions de citadins rêvent de refaire leur vie aux champs, tous ne passent pourtant pas à l'acte.",0
"Mes paroles amères furent considérées comme des preuves d'une Âme haineuse, mes plaisanteries comme des attentats contre tout ce qu'il y avait de plus respectable.",0
"Ils se réfugient au Wyoming tandis que les tribus indiennes, affamées et épuisées, se rendent.",0
Il fait un temps magnifique et nous avons des milliers de choses à faire !,1
Les micro-changements apportés par ce type d'union sont capables d'annoncer de profonds changements sociaux.,0
"Et par rapport à toute cette frénésie, on a besoin de prendre du recul",0
"Les rythmes de vie, les coutumes vestimentaires, les manières d'habiter, bref toutes les normes mondialisées de la vie quotidiennes, même si elles peuvent être localement battues en brèche, ont une histoire enracinée dans l'Occident.",0
"Depuis quelques semaines, le gouvernement français tente de réformer le régime des retraites.",0
"La famille cultive un potager dans sa cour depuis plusieurs années, mais c'est la première fois qu'elle expérimente les semis intérieurs.",0
Il va beaucoup mieux depuis qu'il a changé de travail.,0
J'ai promis de dire la vérité au juge.,0
"Aussi, la journée du 16 octobre est-elle centrée sur une ""alliance internationale contre la faim"", qui devrait, espère la FAO, jouer un rôle de catalyseur, en mettant en commun les forces de chacun : producteurs d'aliments, consommateurs, organisations internationales, industries agroalimentaires, scientifiques, bailleurs de fonds, groupes religieux et organisations non gouvernementales.",0
"Hé bien, il faut remonter en 1534 pour en trouver l'origine quand le navigateur Jacques Cartier découvre le Québec",0
"Richard Castelli Les machines robots ou non remplacent déjà beaucoup d'humains, mais on a oublié que c'étaient eux qui effectuaient ces travaux auparavant.",0
Je vous demanderai de tout lui montrer et de le seconder cette semaine.,0
"Pour chaque histoire, j'écoute l'audio et dans le même moment j'écris ce que je comprends.",0
"D'autres, comme le Front de Libération des Animaux (Animal Liberation Front), considèrent la chose du point de vue animal et soutiennent que les animaux ne doivent pas être considérés comme des 'ressources renouvelables' assujetties à l'exploitation humaine.",0
"Nous passions les grandes vacances à Valras, dans le sud de la France",0
"Pour aller à la mairie, s'il vous plaît ?",1
"Dans le ciel, les mouettes tournoyaient et s'interpellaient bruyamment, leurs cris se mêlaient au vrombissement des bateaux à moteur qui sillonnaient l'archipel.",0
"Une fille super, quoi ! J'ai tout de suite eu envie de devenir son ami.",0
"D'une part, la hausse des agressions sexuelles contre les adolescentes, à l'intérieur même des établissements.",0
Ces nouvelles tensions interviennent après une journée de répression meurtrière dimanche avec au moins 18 manifestants tué.,0
Alors se modifièrent rapidement les règles sévères qu'elle m'avait prescrites.,0
